Unnamed: 0,Last Name,First Name,Division,Country,BIB,Overall Place,Time,Seconds,Year,Gender,Marathon
5803,tsegaye,tirfi,30,ETH,F3,24.0,02:20:18,8418.0,2014.0,F,Berlin
5806,tadese,feyse,H,ETH,F2,27.0,02:20:27,8427.0,2014.0,F,Berlin
5810,flanagan,shalane,30,USA,F4,31.0,02:21:14,8474.0,2014.0,F,Berlin
9308,rita,jeptoo,30-34,,,,2:18:57,8337.0,2014.0,F,Boston
9309,buzunesh,deba,25-29,,,,2:19:59,8399.0,2014.0,F,Boston
9310,mare,dibaba,20-24,,,,2:20:35,8435.0,2014.0,F,Boston
2000,dibaba,mare,20-24,ETH,103,50,02:25:37,8737.0,2014.0,F,Chicago
2001,kiplagat,florence,25-29,KEN,102,53,02:25:57,8757.0,2014.0,F,Chicago
2002,dibaba,birhane,20-24,ETH,106,61,02:27:02,8822.0,2014.0,F,Chicago
0,duncan,nicola,18-39,IRL,426,69,2:33:28,9208.0,2014.0,F,London
1,briscoe,julie,18-39,GBR,374,191,2:39:43,9583.0,2014.0,F,London
2,bird,sara,18-39,GBR,521,197,2:39:55,9595.0,2014.0,F,London
3800,mary,keitany,30-34,KEN,104,25,2:25:07,8707.0,2014.0,F,New York
3801,jemima,sumgong,25-29,KEN,106,27,2:25:10,8710.0,2014.0,F,New York
3802,sara,moreira,25-29,POR,116,31,2:26:00,8760.0,2014.0,F,New York
6027,cherono,gladys,30,KEN,F2,48.0,02:19:25,8365.0,2015.0,F,Berlin
6034,kebede,aberu,H,ETH,F3,55.0,02:20:48,8448.0,2015.0,F,Berlin
6050,hailu,meseret,H,ETH,F4,71.0,02:24:33,8673.0,2015.0,F,Berlin
9408,caroline,rotich,30-34,KEN,F11,30.0,2:24:55,8695.0,2015.0,F,Boston
9409,mare,dibaba,25-29,ETH,F2,31.0,2:24:59,8699.0,2015.0,F,Boston
9410,buzunesh,deba,25-29,ETH,F1,33.0,2:25:09,8709.0,2015.0,F,Boston
2200,kiplagat,florence,25-29,KEN,101,33,02:23:33,8613.0,2015.0,F,Chicago
2201,melese,yebrgual,25-29,ETH,106,35,02:23:43,8623.0,2015.0,F,Chicago
2202,dibaba,birhane,20-24,ETH,102,40,02:24:24,8664.0,2015.0,F,Chicago
200,radcliffe,paula,40-44,GBR,25371,203,2:36:55,9415.0,2015.0,F,London
201,connolly,breege,18-39,GBR,417,220,2:37:24,9444.0,2015.0,F,London
202,spink,jenny,18-39,GBR,379,225,2:37:35,9455.0,2015.0,F,London
3998,mary,keitany,30-34,KEN,101,19,2:24:25,8665.0,2015.0,F,New York
3999,aselefech,mergia,30-34,ETH,109,21,2:25:32,8732.0,2015.0,F,New York
4000,tigist,tufa,25-29,ETH,105,22,2:25:50,8750.0,2015.0,F,New York
6213,kebede,aberu,30,ETH,F1,34.0,02:20:45,8445.0,2016.0,F,Berlin
6221,dibaba,birhane,H,ETH,F3,42.0,02:23:58,8638.0,2016.0,F,Berlin
6227,aga,ruti,H,ETH,F5,48.0,02:24:41,8681.0,2016.0,F,Berlin
9508,atsede,baysa,25-29,ETH,F6,29.0,2:29:19,8959.0,2016.0,F,Boston
9509,tirfi,tsegaye,30-34,ETH,F4,33.0,2:30:03,9003.0,2016.0,F,Boston
9510,joyce,chepkirui,25-29,KEN,F11,36.0,2:30:50,9050.0,2016.0,F,Boston
2400,kiplagat,florence,25-29,KEN,101,23,02:21:32,8492.0,2016.0,F,Chicago
2401,kiplagat,edna,35-39,KEN,102,28,02:23:28,8608.0,2016.0,F,Chicago
2402,kipketer,valentine,20-24,KEN,104,30,02:23:41,8621.0,2016.0,F,Chicago
400,barlow,tracy,18-39,GBR,289,125,2:33:20,9200.0,2016.0,F,London
401,muir,tina,18-39,GBR,645,214,2:37:35,9455.0,2016.0,F,London
402,munn,hayley,18-39,GBR,494,228,2:38:04,9484.0,2016.0,F,London
4196,mary,keitany,30-34,KEN,101,25,2:24:26,8666.0,2016.0,F,New York
4197,sally,kipyego,30-34,KEN,108,35,2:28:01,8881.0,2016.0,F,New York
4198,molly,huddle,30-34,USA,111,36,2:28:13,8893.0,2016.0,F,New York
6432,cherono,gladys,30,KEN,F2,53.0,02:20:23,8423.0,2017.0,F,Berlin
6433,aga,ruti,H,ETH,F7,54.0,02:20:41,8441.0,2017.0,F,Berlin
6434,aiyabei,valary,H,KEN,F4,55.0,02:20:53,8453.0,2017.0,F,Berlin
9608,edna,kiplagat,35-39,KEN,F3,20.0,2:21:52,8512.0,2017.0,F,Boston
9609,rose,chelimo,25-29,BRN,F11,23.0,2:22:51,8571.0,2017.0,F,Boston
9610,jordan,hasay,25-29,USA,F23,24.0,2:23:00,8580.0,2017.0,F,Boston
2600,dibaba,tirunesh,30-34,ETH,103,22,02:18:31,8311.0,2017.0,F,Chicago
2601,kosgei,brigid,20-24,KEN,107,26,02:20:22,8422.0,2017.0,F,Chicago
2602,hasay,jordan,25-29,USA,106,27,02:20:57,8457.0,2017.0,F,Chicago
600,boniface,anna,18-39,GBR,666,201,2:37:07,9427.0,2017.0,F,London
601,clements,amy,18-39,GBR,823,287,2:39:11,9551.0,2017.0,F,London
602,davis,julia,18-39,GBR,715,298,2:39:27,9567.0,2017.0,F,London
4394,shalane,flanagan,35-39,USA,108,20,2:26:53,8813.0,2017.0,F,New York
4395,mary,keitany,35-39,KEN,101,24,2:27:54,8874.0,2017.0,F,New York
4396,mamitu,daska,30-34,ETH,105,26,2:28:08,8888.0,2017.0,F,New York
6601,cherono,gladys,35,KEN,F1,22.0,02:18:11,8291.0,2018.0,F,Berlin
6602,aga,ruti,H,ETH,F5,23.0,02:18:34,8314.0,2018.0,F,Berlin
6603,dibaba,tirunesh,30,ETH,F2,24.0,02:18:55,8335.0,2018.0,F,Berlin
9708,desiree,linden,30-34,USA,,143,2:39:54,9594.0,2018.0,F,Boston
9709,sarah,sellers,25-29,USA,,262,2:44:04,9844.0,2018.0,F,Boston
9710,krista,duchene,40-44,CAN,,272,2:44:20,9860.0,2018.0,F,Boston
2800,kosgei,brigid,20-24,KEN,103,24,02:18:35,8315.0,2018.0,F,Chicago
2801,dereje,roza,20-24,ETH,104,36,02:21:18,8478.0,2018.0,F,Chicago
2802,demise,shure,20-24,ETH,107,40,02:22:15,8535.0,2018.0,F,Chicago
800,porter,georgia,18-39,USA,970,271,2:44:50,9890.0,2018.0,F,London
801,oldroyd,hannah,18-39,GBR,619,294,2:46:27,9987.0,2018.0,F,London
802,bowman,laura,18-39,USA,849,297,2:46:36,9996.0,2018.0,F,London
4592,mary,keitany,35-39,KEN,102,26,2:22:48,8568.0,2018.0,F,New York
4593,vivian,cheruiyot,35-39,KEN,104,32,2:26:02,8762.0,2018.0,F,New York
4594,shalane,flanagan,35-39,USA,101,34,2:26:22,8782.0,2018.0,F,New York
6851,bekere,ashete,30,ETH,F6,72.0,02:20:14,8414.0,2019.0,F,Berlin
6855,dibaba,mare,30,ETH,F3,76.0,02:20:21,8421.0,2019.0,F,Berlin
6860,chepyego,sally,30,KEN,F27,81.0,02:21:06,8466.0,2019.0,F,Berlin
9808,worknesh,degefa,25-29,ETH,F2,36,2:23:31,8611.0,2019.0,F,Boston
9809,edna,kiplagat,35-39,KEN,F4,38,2:24:13,8653.0,2019.0,F,Boston
9810,jordan,hasay,25-29,USA,F7,48,2:25:20,8720.0,2019.0,F,Boston
3000,kosgei,brigid,25-29,KEN,101,23,02:14:04,8044.0,2019.0,F,Chicago
3001,yeshaneh,ababel,25-29,ETH,106,51,02:20:51,8451.0,2019.0,F,Chicago
3002,burka,gelete,30-34,ETH,102,52,02:20:55,8455.0,2019.0,F,Chicago
1000,larsson,mikaela,18-39,SWE,916,114,02:31:32,9092.0,2019.0,F,London
1001,davis,stephanie,18-39,GBR,560,138,02:32:38,9158.0,2019.0,F,London
1002,roman-duval,julia,18-39,FRA,919,273,02:37:15,9435.0,2019.0,F,London
4790,joyciline,jepkosgei,25-29,KEN,106,31,2:22:38,8558.0,2019.0,F,New York
4791,mary,keitany,35-39,KEN,101,34,2:23:32,8612.0,2019.0,F,New York
4792,ruti,aga,25-29,ETH,103,39,2:25:51,8751.0,2019.0,F,New York
1200,cheung,ping,45-49,HKG,2478,5,02:28:36,8916.0,2020.0,F,London
1201,lockyer,donna,40-44,GBR,25676,63,02:41:15,9675.0,2020.0,F,London
1202,seymour,natalie,18-39,GBR,12416,199,02:49:02,10142.0,2020.0,F,London
4988,stephanie,bruce,35-39,USA,142537,11,2:35:28,9328.0,2020.0,F,New York
4989,emily,sisson,25-29,USA,39354,21,2:38:00,9480.0,2020.0,F,New York
4990,carmen,martínez,35-39,PAR,141715,76,2:48:42,10122.0,2020.0,F,New York
7002,gebreslase,gotytom,H,ETH,F17,23.0,02:20:09,8409.0,2021.0,F,Berlin
7004,gebrekidan,hiwot,H,ETH,F2,25.0,02:21:23,8483.0,2021.0,F,Berlin
7007,tola,helen,H,ETH,F28,28.0,02:23:05,8585.0,2021.0,F,Berlin
9008,diana,kipyokei,,,,40,02:24:45,8685.0,2021.0,F,Boston
9009,edna,kiplagat,,,,41,02:25:09,8709.0,2021.0,F,Boston
9010,mary,ngugi,,,,42,02:25:20,8720.0,2021.0,F,Boston
3200,chepngetich,ruth,25-29,KEN,102,21,02:22:31,8551.0,2021.0,F,Chicago
3201,bates,emma,25-29,USA,107,26,02:24:20,8660.0,2021.0,F,Chicago
3202,hall,sara,35-39,USA,103,41,02:27:19,8839.0,2021.0,F,Chicago
1400,flanagan,shalane,40-44,GBR,50203,190,02:35:04,9304.0,2021.0,F,London
1401,richardson,chloe,18-39,GBR,220,246,02:37:08,9428.0,2021.0,F,London
1402,webster,sarah,40-44,GBR,431,450,02:41:24,9684.0,2021.0,F,London
5186,peres,jepchirchir,25-29,KEN,101,22,2:22:39,8559.0,2021.0,F,New York
5187,viola,cheptoo,30-34,KEN,111,23,2:22:44,8564.0,2021.0,F,New York
5188,ababel,yeshaneh,30-34,ETH,103,24,2:22:52,8572.0,2021.0,F,New York
7212,assefa,tigist,H,ETH,F24,33.0,02:15:37,8137.0,2022.0,F,Berlin
7223,wanjiru,rosemary,H,KEN,F25,44.0,02:18:00,8280.0,2022.0,F,Berlin
7224,abayechew,tigist,H,ETH,F8,45.0,02:18:03,8283.0,2022.0,F,Berlin
9108,peres,jepchirchir,,,,31,02:21:01,8461.0,2022.0,F,Boston
9109,ababel,yeshaneh,,,,32,02:21:05,8465.0,2022.0,F,Boston
9110,mary,ngugi,,,,33,02:21:32,8492.0,2022.0,F,Boston
3400,chepngetich,ruth,25-29,KEN,101,25,02:14:18,8058.0,2022.0,F,Chicago
3401,sisson,emily,30-34,USA,107,35,02:18:29,8309.0,2022.0,F,Chicago
