Last_Name,First_Name,Division,Country,BIB,Overall_Place,Time,Seconds,Year,Gender,Marathon
dibaba,mare,20-24,ETH,103,50,02:25:37,8737.0,2014,F,Chicago
kiplagat,florence,25-29,KEN,102,53,02:25:57,8757.0,2014,F,Chicago
dibaba,birhane,20-24,ETH,106,61,02:27:02,8822.0,2014,F,Chicago
hastings,amy,30-34,USA,107,62,02:27:03,8823.0,2014,F,Chicago
santucci,clara,25-29,USA,108,101,02:32:21,9141.0,2014,F,Chicago
crouch,sarah,25-29,USA,116,103,02:32:44,9164.0,2014,F,Chicago
burka,gelete,25-29,ETH,127,116,02:34:17,9257.0,2014,F,Chicago
white,melissa,30-34,USA,111,117,02:34:19,9259.0,2014,F,Chicago
jimison,lauren,20-24,USA,114,119,02:34:38,9278.0,2014,F,Chicago
cummings,sarah,25-29,USA,120,122,02:34:47,9287.0,2014,F,Chicago
scherf,lindsey,25-29,USA,110,146,02:37:26,9446.0,2014,F,Chicago
thomas,wendy,35-39,USA,112,150,02:37:38,9458.0,2014,F,Chicago
portis,laura,25-29,USA,115,161,02:38:06,9486.0,2014,F,Chicago
maxson,allison,25-29,USA,494,170,02:39:16,9556.0,2014,F,Chicago
bevins-lazzara,whitney,30-34,USA,123,182,02:40:12,9612.0,2014,F,Chicago
vongvorachoti,jane,30-34,USA,407,187,02:40:40,9640.0,2014,F,Chicago
uhl,lisa,25-29,USA,109,189,02:40:51,9651.0,2014,F,Chicago
duke,andrea,35-39,USA,161,192,02:41:05,9665.0,2014,F,Chicago
crowley,loring,30-34,USA,411,204,02:41:39,9699.0,2014,F,Chicago
blackham,merrilee,35-39,USA,457,215,02:41:59,9719.0,2014,F,Chicago
greenwood,heidi,25-29,USA,121,224,02:42:22,9742.0,2014,F,Chicago
heckert,kristen,25-29,USA,190,230,02:42:32,9752.0,2014,F,Chicago
composti,jeanna,30-34,USA,186,232,02:42:34,9754.0,2014,F,Chicago
phillips,caitlin,30-34,USA,170,239,02:42:45,9765.0,2014,F,Chicago
stephan,faith,25-29,USA,182,244,02:42:54,9774.0,2014,F,Chicago
varanka,alexandra,25-29,USA,166,252,02:43:19,9799.0,2014,F,Chicago
lee,rosy,35-39,USA,398,253,02:43:20,9800.0,2014,F,Chicago
calle,maria elena,35-39,ECU,199,254,02:43:26,9806.0,2014,F,Chicago
tessier,lyndsay,35-39,CAN,453,308,02:45:39,9939.0,2014,F,Chicago
muir,tina,25-29,GBR,124,312,02:45:51,9951.0,2014,F,Chicago
moeller,erin,35-39,USA,178,313,02:45:54,9954.0,2014,F,Chicago
schindel,caitlin,20-24,CAN,172,315,02:45:58,9958.0,2014,F,Chicago
olsen,courtney,25-29,USA,169,324,02:46:21,9981.0,2014,F,Chicago
kidd,angela,35-39,USA,439,328,02:46:31,9991.0,2014,F,Chicago
kurian,emily,30-34,USA,177,333,02:46:39,9999.0,2014,F,Chicago
knurr,hanna,20-24,USA,183,343,02:47:11,10031.0,2014,F,Chicago
harnish,laura,25-29,USA,197,347,02:47:27,10047.0,2014,F,Chicago
drynan,allison,35-39,CAN,473,358,02:47:52,10072.0,2014,F,Chicago
staton,pamela,25-29,USA,425,368,02:48:02,10082.0,2014,F,Chicago
mcclellan,samantha,25-29,USA,400,379,02:48:22,10102.0,2014,F,Chicago
firth,charlotte,25-29,GBR,467,384,02:48:31,10111.0,2014,F,Chicago
bower,samantha,20-24,USA,399,387,02:48:36,10116.0,2014,F,Chicago
smart,kristin,25-29,CAN,195,396,02:49:00,10140.0,2014,F,Chicago
ortiz,angela,30-34,USA,165,403,02:49:12,10152.0,2014,F,Chicago
morrison,amber,30-34,USA,163,405,02:49:15,10155.0,2014,F,Chicago
colligan,nora,30-34,USA,396,414,02:49:26,10166.0,2014,F,Chicago
casey,nicole,25-29,USA,489,432,02:49:56,10196.0,2014,F,Chicago
li,ji,30-34,CHN,428,433,02:49:57,10197.0,2014,F,Chicago
weber,anna,25-29,USA,450,434,02:50:01,10201.0,2014,F,Chicago
lowry,theresa,40-44,USA,464,436,02:50:02,10202.0,2014,F,Chicago
mclean,pauline,35-39,CAN,474,451,02:50:50,10250.0,2014,F,Chicago
wachter,erin,25-29,USA,181,453,02:50:56,10256.0,2014,F,Chicago
uible,elisabeth,25-29,USA,180,456,02:50:59,10259.0,2014,F,Chicago
chyr,nicole,35-39,USA,442,459,02:51:05,10265.0,2014,F,Chicago
selert,kir,25-29,USA,434,469,02:51:23,10283.0,2014,F,Chicago
lockyer,karen,35-39,NZL,193,475,02:51:29,10289.0,2014,F,Chicago
moll,angela,35-39,USA,164,476,02:51:31,10291.0,2014,F,Chicago
johannsen,denise,30-34,DEU,860,482,02:51:39,10299.0,2014,F,Chicago
grevenstuk,michelle,30-34,USA,200,495,02:52:01,10321.0,2014,F,Chicago
heitzman,ariel,30-34,USA,162,514,02:52:45,10365.0,2014,F,Chicago
manley,pamela,35-39,USA,476,526,02:52:56,10376.0,2014,F,Chicago
gaughan,caitlin,25-29,USA,6061,532,02:53:06,10386.0,2014,F,Chicago
perkins,lauren,30-34,USA,198,556,02:53:46,10426.0,2014,F,Chicago
baliga,sr. stephanie,25-29,USA,155,557,02:53:49,10429.0,2014,F,Chicago
ytterstad,nina,50-54,NOR,437,563,02:53:59,10439.0,2014,F,Chicago
noordstar,christina,35-39,USA,451,570,02:54:04,10444.0,2014,F,Chicago
davis,mckale,30-34,USA,491,571,02:54:08,10448.0,2014,F,Chicago
howery,katie,25-29,USA,447,576,02:54:21,10461.0,2014,F,Chicago
duval,dari,30-34,USA,1522,588,02:54:40,10480.0,2014,F,Chicago
grebinski,jayne,25-29,CAN,420,602,02:54:57,10497.0,2014,F,Chicago
walters,ingrid,40-44,USA,184,603,02:54:58,10498.0,2014,F,Chicago
paige osborne,lauren,30-34,USA,424,605,02:54:59,10499.0,2014,F,Chicago
lee,kerry,35-39,USA,488,622,02:55:14,10514.0,2014,F,Chicago
blankenship,lauren,30-34,USA,448,626,02:55:16,10516.0,2014,F,Chicago
clifford,shambra,30-34,USA,2198,641,02:55:30,10530.0,2014,F,Chicago
gascoigne-owens,johanna,35-39,GBR,417,666,02:55:51,10551.0,2014,F,Chicago
markham,kelsey,25-29,USA,462,675,02:55:58,10558.0,2014,F,Chicago
marquardt,tamara,25-29,USA,422,676,02:56:00,10560.0,2014,F,Chicago
niles,alexandra,30-34,USA,406,680,02:56:03,10563.0,2014,F,Chicago
o'brien,caitlin,20-24,USA,5936,681,02:56:03,10563.0,2014,F,Chicago
yoshizumi,yuri,25-29,JPN,118,686,02:56:07,10567.0,2014,F,Chicago
