year,fact
1990,"Monday, April 16, 1990: Jean Driscoll of Champaign, Illinois, won her first of seven consecutive wheelchair division races. John Campbell of New Zealand established a world masters best of 2:11:04, finishing fourth overall."
1994,"Monday, April 18, 1994: World best performances were established in the men’s and women’s wheelchair divisions, while course records fell in the men’s and women’s open divisions. For the fifth consecutive year, Jean Driscoll posted a world best to win the women’s wheelchair division, while Heinz Frei of Switzerland set the men’s world best to mark the 12th time the record had been established at Boston. Cosmas Ndeti of Kenya lowered the course record to 2:07:15, while Uta Pippig set the women’s standard at 2:21:45."
1995,"Monday, April 17, 1995: Cosmas Ndeti crossed the line first in 2:09:22 to join Bill Rodgers and Clarence H. DeMar as another champion to have won the race three consecutive years. Between 2006 and 2008, Robert Kipkoech Cheruiyot would also win three straight crowns."
1996,"Monday, April 15, 1996: The historic 100th running of the Boston Marathon attracted 38,708 entrants (36,748 starters) and had 35,868 official finishers, which stood as the largest field of finishers in the history of the sport until 2004 (New York City: 37,257 starters; 36,544 finishers). Uta Pippig overcame a 30-second deficit and severe dehydration, among other difficulties, to become the first woman of the official era to win the race three consecutive years."
1997,"Monday, April 21, 1997: Fatuma Roba of Ethiopia became the fourth person to win the Boston and Olympic Marathons, and the first African woman to win the Boston Marathon. Two years later, she would become the second woman of the official era to win the race three consecutive years."
2000,"Monday, April 17, 2000: After seven consecutive victories (1990–96) followed by three years as runner-up (1997–99), Jean Driscoll won an unprecedented eighth title in the wheelchair division, moving her past legendary Hall of Famer Clarence H. DeMar for most all-time victories at Boston. Catherine Ndereba became the first Kenyan woman to win the Boston Marathon; Elijah Lagat, also of Kenya, was first to the finish in the men’s race, marking the 10th consecutive year a runner from his country won the title. Both the men’s and women’s races were the closest in history."
2002,"Monday, April 15, 2002: Two records were set in the women’s race when Margaret Okayo of Kenya dethroned two-time defending champion Catherine Ndereba in 2:20:43, and Russian Firaya Sultanova-Zhdanova broke the 14-year-old masters record with her 2:27:58 victory."
2003,"Monday, April 21, 2003: The Boston Marathon qualifying times were adjusted for the first time since 1990, and the maximum field size was set at 20,000 official entrants."
2004,"Monday, April 19, 2004: To better showcase the women’s elite field, the B.A.A. implemented a separate start for the top female runners. In a dramatic change to race format, 35 national- and international-caliber women began at 11:31 a.m. (29 minutes before the rest of the field and the traditional noon start). Also, Ernst Van Dyk, of South Africa, made history in the push rim wheelchair division when he won for the fourth consecutive year in a world record time of 1:18:27, and he became the first person to ever crack the 1:20:00 barrier."
2005,"Monday, April 18, 2005: Catherine Ndereba became the first four-time winner of the women’s open division. Ernst Van Dyk added to his record for consecutive wins in the men’s push rim wheelchair division, capturing his fifth straight title. In Tallil, Iraq, 41 U.S. servicemen and women completed the first-ever Boston Marathon in Iraq that same day."
2006,"Monday, April 17, 2006: In one of the most significant changes in Boston Marathon history, the field was divided into two starting waves, with 10,000 runners beginning at the traditional noon starting time, and the remainder of the runners starting at 12:30 p.m. In addition to the two-wave start, the Marathon for the first time scored the event by net (chip) time. Robert Kipkoech Cheruiyot beat Cosmas Ndeti’s 12-year-old course record by one second, while Rita Jeptoo, Jelena Prokopcuka, and Reiko Tosa provided the women’s division’s closest-ever 1-2-3 finish."
2008,"Monday, April 21, 2008: Robert Kipkoech Cheruiyot won his fourth total, and third consecutive, Boston title, joining Clarence H. DeMar, Gerard Cote, and Bill Rodgers as the only men to have won the race at least four times."
2010,"Monday, April 19, 2010: Robert Kiprono Cheruiyot from Kenya established a new men’s course record by 82 seconds with a time of 2:05:52. In the men’s push rim wheelchair division, Ernst Van Dyk of South Africa won in 1:26:53 and became the most successful Boston Marathon competitor of all time, with his ninth title. The race marked 25 years of partnership between principal sponsor John Hancock and the B.A.A. The official charity program surpassed the $100 million mark in 2010."
2011,"Monday, April 18, 2011: Geoffrey Mutai from Kenya set a new course record, as well as a new world’s best time of 2:03:02. The top four men all finished under the old course record. Caroline Kilel of Kenya just outlasted Desiree Davila of the United States to win in 2:22:36. The push rim wheelchair division had an emotional element all its own, with both men’s and women’s victories going to Japan - this just after the earthquake that had struck that country. Masazumi Soejima finished ahead of Kurt Fearnley and Ernst Van Dyk in a winning time of 1:18:50. Once again, records were set for female entrants (11,462) and finishers (10,074)."
2012,"Monday, April 16, 2012: Weather conditions reached almost 90 degrees along the course. The heat did not affect Canada’s Josh Cassidy, who pulled away early to win the push rim wheelchair division in 1:18:25, breaking Ernst Van Dyk’s course record by two seconds. Due to the warm-weather forecast, anyone who decided to pick up a bib but chose not to run the race was given automatic deferment to the 2013 Boston Marathon. After timing adjudication post-race, 2,160 runners became eligible for this offer. The 500,000th finisher in the 116-year history of the Boston Marathon crossed the finish line."
2013,"Monday, April 15, 2013: Tragic incident of a domestic terrorist attack known as the Boston Marathon bombing. Two bombs exploded near the finish line of the marathon five hours after the race started, resulting in three deaths and more than 260 injured spectators and participants."
2014,"Monday, April 21, 2014: In a triumphant victory, American Mebrahtom (Meb) Keflezighi crossed the finish first on Boylston Street in a personal best of 2:08:37. Keflezighi was spurred on by the memories of those impacted by the tragic events at the 2013 Boston Marathon, becoming the first American man to win the open race since Greg Meyer in 1983. Rita Jeptoo of Kenya ran a course record of 2:18:57 to claim her second consecutive (and third overall) Boston Marathon win. In the men’s push rim wheelchair division, Ernst Van Dyk of South Africa won his 10th Boston Marathon title, while Tatyana McFadden of the United States retained the women’s crown."
2018,"Monday, April 16, 2018: Prevailing in some of the worst weather conditions in race history were American Desiree Linden and Japan’s Yuki Kawauchi. Driving rain and very strong winds made it tough for all participants, yet did not stop Linden from becoming the first U.S. woman in 33 years to win the open division. Kawauchi was the first Japanese men’s champion since 1987. In recognition of the B.A.A.’s Year of Service, a Military Relay team of 16 servicemen and women passed a baton from Hopkinton to Boston in honor of the centennial anniversary of the 1918 Boston Marathon Military Relay."
2020,"September 5-14, 2020: For the first time, the Boston Marathon was not held on its traditional April date. Due to the coronavirus pandemic, the Patriots’ Day race was postponed to September and ultimately converted into a Virtual Experience. Participants brought the spirit of the Boston Marathon to neighborhoods around the world, covering 26.2 miles virtually in their neighborhoods. A total of 16,183 finishers from all 50 U.S. states and nearly 90 countries completed the Boston Marathon Virtual Experience, earning the coveted unicorn finisher medal."
