"Last Name, First Name",OverAll,Sex Place,DIV,Net Time,"City, State"
EVANS RUTTO (M26),1,1 / 1,M25-29,2:06:16,"CONCORD, MA"
DANIEL NJENGA (M28),2,2 / 2,M25-29,2:07:44,"BOULDER, CO"
TOSHINARI TAKAOKA (M34),3,3 / 1,M30-34,2:07:50,"BOULDER, CO"
JIMMY MUINDI (M31),4,4 / 2,M30-34,2:08:27,"TAMPA, FL"
KHALID KHANNOUCHI (M32),5,5 / 3,M30-34,2:08:44,"OSSINING, NY"
MARILSON DOS SANTOS (M27),6,6 / 3,M25-29,2:08:48,"TAMPA, FL"
STEPHEN KIOGORA (M29),7,7 / 4,M25-29,2:09:21,"CONCORD, MA"
BEN MAIYO (M26),9,8 / 5,M25-29,2:13:17,"CONCORD, MA"
PAUL KOECH (M35),10,9 / 1,M35-39,2:13:18,"CONCORD, MA"
BRIAN SELL (M26),11,10 / 6,M25-29,2:13:21,"UTICA, MI"
ROBERT KIPKOECH CHERUIYOT (M26),12,11 / 7,M25-29,2:14:21,BRESCIA
MARTIN DENT (M25),13,12 / 8,M25-29,2:15:34,MACQUAIRE
WILSON CHEPKWONY (M23),14,13 / 1,M20-24,2:16:07,ELDORET
CLINT VERRAN (M29),15,14 / 9,M25-29,2:17:27,"UTICA, MI"
JAMES KOSKEI (M35),16,15 / 2,M35-39,2:18:40,"CONCORD, MA"
LUKE HUMPHREY (M23),17,16 / 2,M20-24,2:18:49,"UTICA, MI"
MATTHEW MCINNES (M29),18,17 / 10,M25-29,2:19:27,TORONTO
KAZUTOSHI TAKATSUKA (M28),19,18 / 11,M25-29,2:19:55,"BOULDER, CO"
KEVIN BEATTY (M28),20,19 / 12,M25-29,2:21:36,WATERLOO
MARZUKI STEVENS (M30),21,20 / 4,M30-34,2:22:23,"SOMERVILLE, MA"
ERWIN MCRAE (M28),22,21 / 13,M25-29,2:22:45,CANBERRA
TRENT BRINEY (M26),23,22 / 14,M25-29,2:22:52,"UTICA, MI"
JESSE WILLIAMS (M26),24,23 / 15,M25-29,2:23:20,"BOTHELL, WA"
MATT SCIANDRA (M22),25,24 / 3,M20-24,2:23:36,"CHAPEL HILL, NC"
CONSTANTINA TOMESCU-DITA (F34),26,1 / 1,F30-34,2:23:45,"BOULDER, CO"
MARC ANTONE (M33),27,25 / 5,M30-34,2:24:00,"NEW YORK, NY"
JASON WARICK (M31),28,26 / 6,M30-34,2:24:03,SASKATOON
WILLIAM HOFFMAN (M24),29,27 / 4,M20-24,2:24:24,"EATONTOWN, NJ"
NUTA OLARU (F34),30,2 / 2,F30-34,2:24:33,"BOULDER, CO"
KEVIN KOEPER (M26),31,28 / 16,M25-29,2:24:53,"ARCADIA, CA"
SVETLANA ZAKHAROVA (F34),32,3 / 3,F30-34,2:25:01,"GAITHERSBURG, MD"
JOHN WEIGEL (M30),33,29 / 7,M30-34,2:25:45,"NAPERVILLE, IL"
JOYCE CHEPCHUMBA (F33),34,4 / 4,F30-34,2:26:21,DETMOLD
MATT GERARD (M32),35,30 / 8,M30-34,2:26:45,"OMAHA, NE"
ROB HYDE (M29),36,31 / 17,M25-29,2:26:50,"GAND RAPIDS, MI"
STEVEN CRANE (M23),37,32 / 5,M20-24,2:26:55,"YPSILANTI, MI"
CHRIS THUNEN (M27),38,33 / 18,M25-29,2:27:24,"NEW HAVEN, CT"
ALBINA IVANOVA (F27),39,5 / 1,F25-29,2:28:22,"GAITHERSBURG, MD"
SHETAYE GEMECHU (F24),40,6 / 1,F20-24,2:28:28,"BOSTON, MA"
MARLA RUNYAN (F35),41,7 / 1,F35-39,2:28:33,"GRAY, TN"
DAVID WILLIAMS (M33),42,34 / 9,M30-34,2:28:38,"MILWAUKEE, WI"
DAVID WEATHERBIE (M36),43,35 / 3,M35-39,2:28:52,"CAPE ELIZABETH, ME"
DAVID VOLK (M27),44,36 / 19,M25-29,2:29:06,"SAN DIEGO, CA"
CRAIG FRAM (M46),45,37 / 1,M45-49,2:29:29,"PLAISTOW, NH"
MARK REED (M25),46,38 / 20,M25-29,2:29:46,"ORLAND PARK, IL"
MATHEW DOBSON (M35),47,39 / 4,M35-39,2:30:00,"PENSACOLA, FL"
DERARTU TULU (F32),48,8 / 5,F30-34,2:30:21,"BOSTON, MA"
KIRKLAN WALRATH (M34),49,40 / 10,M30-34,2:30:22,"FENTON, MI"
PAUL BARRONS (M25),50,41 / 21,M25-29,2:30:25,"KALAMAZOO, MI"
IAN NURSE (M26),51,42 / 22,M25-29,2:30:44,"BOSTON, MA"
DALE LEGRAND (M33),52,43 / 11,M30-34,2:30:46,"LOUISVILLE, KY"
ADAM CRANDALL (M28),53,44 / 23,M25-29,2:30:47,"HANNIBAL, NY"
PAUL ANDERSON (M25),54,45 / 24,M25-29,2:30:47,"BALTIMORE, MD"
LUC MOLEMANS (M41),55,46 / 1,M40-44,2:31:07,TERNAT
THOMAS DEVER (M47),56,47 / 2,M45-49,2:31:16,"TERRE HAUTE, IN"
JOSHUA SOHN (M23),57,48 / 6,M20-24,2:31:33,"CAMBRIDGE, MA"
ANDY BUPP (M32),58,49 / 12,M30-34,2:31:51,"DENVER, CO"
KIT WELLS (M28),59,50 / 25,M25-29,2:31:58,"BROOKLINE, MA"
BLAKE RUSSELL (F29),60,9 / 2,F25-29,2:32:04,"GRAY, TN"
TOM KUTTER (M24),61,51 / 7,M20-24,2:32:26,"LOGANVILLE, GA"
LANCE WINDERS (M41),62,52 / 2,M40-44,2:32:34,"MANSFIELD, TN"
GERMAN SILVA (M36),63,53 / 5,M35-39,2:32:37,ZINACANTEPEC
TERRY GEHL (M35),64,54 / 6,M35-39,2:32:43,SAINT CHARLES
KAVIN SMITH (M37),65,55 / 7,M35-39,2:32:58,HAMILTON
JOSH IRWIN (M27),66,56 / 26,M25-29,2:32:58,"RICHMOND, VA"
MICHAEL JOHNSTON (M35),67,57 / 8,M35-39,2:33:00,"NEW YORK, NY"
KAM LEE (M35),68,58 / 9,M35-39,2:33:05,"MIDDLEBURG HEIGHTS, OH"
GAVIN STEVENS (M48),69,59 / 3,M45-49,2:33:26,AUCKLAND
ROB ZAND (M34),70,60 / 13,M30-34,2:33:34,"NEW YORK, NY"
JENNY SPANGLER (F41),71,10 / 1,F40-44,2:33:36,"LAKE VILLA, IL"
JASON MAUS (M25),72,61 / 27,M25-29,2:33:50,"ADA, OH"
KENNY BROWN (M35),73,62 / 10,M35-39,2:34:07,"SANTA ROSA, CA"
BRENDON MOODY (M23),74,63 / 8,M20-24,2:34:16,"TIFFIN, OH"
MATTHEW SACKRIDER (M20),75,64 / 9,M20-24,2:34:17,"BATTLE CREEK, MI"
CHRIS SPINNEY (M44),76,65 / 3,M40-44,2:34:39,"LYNN, MA"
DAVE WALTERS (M49),77,66 / 4,M45-49,2:34:50,"LISLE, IL"
ERIC LESCH (M28),78,67 / 28,M25-29,2:34:54,"CHICAGO, IL"
ALAN NEWTON (M41),79,68 / 4,M40-44,2:35:05,"BOISE, ID"
RUSSELL BOORE (M42),80,69 / 5,M40-44,2:35:15,"HAMPTON, IL"
RONALD CHISOLM (M43),81,70 / 6,M40-44,2:35:23,"CREVE COEUR, MO"
EVAN HONEYFIELD (M24),82,71 / 10,M20-24,2:35:23,"WELLSBORO, PA"
JASON DRESSLER (M31),83,72 / 14,M30-34,2:35:24,"DECATUR, GA"
MALGORZATA SOBANSKA (F35),84,11 / 2,F35-39,2:35:24,"TAMPA, FL"
BRIAN SCOTT (M26),85,73 / 29,M25-29,2:35:41,"AURORA, IL"
WILLIAM BURN (M28),86,74 / 30,M25-29,2:35:45,"WINFIELD, IL"
BRIAN HENZ (M31),87,75 / 15,M30-34,2:35:46,"SUGAR GROVE, IL"
SHAD MILLER (M26),88,76 / 31,M25-29,2:35:49,"SOMERVILLE, MA"
THOMAS CLARK (M27),89,77 / 32,M25-29,2:35:55,"WAUKESHA, WI"
MARK GARDINER (M26),90,78 / 33,M25-29,2:35:59,TORONTO
EMISAEL FAVELA (M27),91,79 / 34,M25-29,2:36:03,"CHICAGO, IL"
TODD HALBIG (M28),92,80 / 35,M25-29,2:36:08,"FAYETTEVILLE, NY"
PETE JAEGER (M32),93,81 / 16,M30-34,2:36:10,"MADISON, WI"
BRIAN JOHNSON (M29),94,82 / 36,M25-29,2:36:14,"MOUNT PLEASANT, SC"
KRZYSZTOF BAK (M23),95,83 / 11,M20-24,2:36:26,BIELSKO BIALA
STEFAN KALINOWSKI (M37),96,84 / 11,M35-39,2:36:27,JASTRZEBIE ZDROJ
STEVEN MAVES (M44),97,85 / 7,M40-44,2:36:30,"FISHERS, IN"
WILL HARLAN (M29),98,86 / 37,M25-29,2:36:35,"ASHEVILLE, NC"
