"Last Name, First Name",Time,OverAll,Sex Place,DIV,Net Time,Country,AG Time*
Sammy Wanjiru (M22),2:05:41,1,1 / 1,M20-24,2:05:41,KEN,2:05:37
Abderrahim Goumri (M33),2:06:04,2,2 / 1,M30-34,2:06:04,MAR,2:06:04
Vincent Kipruto (M22),2:06:08,3,3 / 2,M20-24,2:06:08,KEN,2:06:04
Charles Munyeki (M23),2:07:06,4,4 / 3,M20-24,2:07:06,KEN,2:07:06
Richard Limo (M28),2:08:43,5,5 / 1,M25-29,2:08:43,KEN,2:08:43
Wesley Korir (M26),2:10:38,6,6 / 2,M25-29,2:10:38,KEN,2:10:38
Isaac Macharia (M30),2:11:09,7,7 / 2,M30-34,2:11:09,KEN,2:11:09
Sergio D Reyes (M27),2:15:30,8,8 / 3,M25-29,2:15:30,USA,2:15:30
Tedese Tola (M21),2:15:48,9,9 / 4,M20-24,2:15:48,ETH,2:15:11
Patrick Rizzo (M26),2:15:48,10,10 / 4,M25-29,2:15:48,USA,2:15:48
Ben Maiyo (M31),2:16:38,11,11 / 3,M30-34,2:16:38,KEN,2:16:38
Michael McKeeman (M33),2:17:42,12,12 / 4,M30-34,2:17:42,USA,2:17:42
Drew H Shackleton (M23),2:17:56,13,13 / 5,M20-24,2:17:56,USA,2:17:56
Kyle R Shackleton (M23),2:18:00,14,14 / 6,M20-24,2:17:59,USA,2:17:59
Jeff A Jonaitis (M28),2:18:02,15,15 / 5,M25-29,2:18:01,USA,2:18:01
John C Lucas (M29),2:18:53,16,16 / 6,M25-29,2:18:51,USA,2:18:51
Aleksandar Tomas (M31),2:18:58,17,17 / 5,M30-34,2:18:58,SRB,2:18:58
Morten B Bostrom (M27),2:19:12,18,18 / 7,M25-29,2:19:12,FIN,2:19:12
Bret E Schoolmeester (M25),2:19:16,19,19 / 8,M25-29,2:19:16,USA,2:19:16
Matthew D Bartlebaugh (M25),2:19:22,20,20 / 9,M25-29,2:19:21,USA,2:19:21
Brandon Mull (M23),2:20:04,21,21 / 7,M20-24,2:20:03,USA,2:20:03
Lars Juhl (M32),2:20:05,22,22 / 6,M30-34,2:20:04,DEN,2:20:04
Marc A Jeuland (M30),2:20:23,23,23 / 7,M30-34,2:20:23,USA,2:20:23
Chad Ware (M25),2:20:47,24,24 / 10,M25-29,2:20:45,USA,2:20:45
Jesse L Davis (M27),2:21:17,25,25 / 11,M25-29,2:21:17,USA,2:21:17
Kalib Wilkinson (M25),2:21:37,26,26 / 12,M25-29,2:21:37,USA,2:21:37
David A Williams (M38),2:21:50,27,27 / 1,M35-39,2:21:50,USA,2:20:33
Robert L Scribner (M23),2:22:01,28,28 / 8,M20-24,2:22:00,USA,2:22:00
Hector Rivera (M38),2:22:18,29,29 / 2,M35-39,2:22:15,USA,2:20:58
Jason J Flogel (M26),2:22:32,30,30 / 13,M25-29,2:22:29,USA,2:22:29
Jason Ryf (M38),2:22:40,31,31 / 3,M35-39,2:22:39,USA,2:21:21
Randy K Bill (M27),2:22:51,32,32 / 14,M25-29,2:22:49,USA,2:22:49
Jeff H Powers (M25),2:22:55,33,33 / 15,M25-29,2:22:55,USA,2:22:55
Brent Martin (M24),2:23:19,34,34 / 9,M20-24,2:23:17,USA,2:23:17
Roy A Vargas (M30),2:23:28,35,35 / 8,M30-34,2:23:25,CRI,2:23:25
Teage OConnor (M26),2:23:26,36,36 / 16,M25-29,2:23:26,USA,2:23:26
Kirby F Davis (M25),2:23:33,37,37 / 17,M25-29,2:23:33,USA,2:23:33
Kaleb M Vanort (M25),2:23:47,38,38 / 18,M25-29,2:23:45,USA,2:23:45
Pete A Gilman (M34),2:23:45,39,39 / 9,M30-34,2:23:45,USA,2:23:45
Mark G Batres (M25),2:23:56,40,40 / 19,M25-29,2:23:53,USA,2:23:53
Seth A Hutchinson (M26),2:24:03,41,41 / 20,M25-29,2:24:01,USA,2:24:01
Stewart Ellington (M35),2:24:25,42,42 / 4,M35-39,2:24:23,USA,2:24:23
John P Thompson (M23),2:24:41,43,43 / 10,M20-24,2:24:38,USA,2:24:38
Edward P Callinan (M35),2:25:01,44,44 / 5,M35-39,2:24:58,USA,2:24:58
Stefan Kolata (M28),2:25:18,45,45 / 21,M25-29,2:25:14,USA,2:25:14
Carlos Handler (M27),2:25:18,46,46 / 22,M25-29,2:25:15,USA,2:25:15
Jonathan C Little (M28),2:25:25,47,47 / 23,M25-29,2:25:25,USA,2:25:25
Joshua Trevino (M25),2:25:26,48,48 / 24,M25-29,2:25:26,USA,2:25:26
Adam M Fitzgerald (M28),2:25:36,49,49 / 25,M25-29,2:25:30,USA,2:25:30
Paul G Hasler (M38),2:25:32,50,50 / 6,M35-39,2:25:31,GBR,2:24:12
Austin J Richmond (M24),2:25:40,51,51 / 11,M20-24,2:25:39,USA,2:25:39
