"Last Name, First Name",Time,OverAll,Sex Place,DIV,"City, State, Country",AG Time*
Moses Mosop (M26),2:05:37,1,1 / 1,M25-29,KEN,2:05:37
Wesley Korir (M28),2:06:15,2,2 / 2,M25-29,KEN,2:06:15
Bernard Kipyego (M25),2:06:29,3,3 / 3,M25-29,KEN,2:06:29
Bekana Daba (M23),2:07:59,4,4 / 1,M20-24,ETH,2:07:59
Ryan Hall (M28),2:08:04,5,5 / 4,M25-29,USA,2:08:04
Evans Cheruiyot (M29),2:10:29,6,6 / 5,M25-29,KEN,2:10:29
Kouji Gokaya (M23),2:12:15,7,7 / 2,M20-24,JPN,2:12:15
Hironori Arai (M32),2:13:17,8,8 / 1,M30-34,JPN,2:13:17
Takashi Horiguchi (M32),2:14:48,9,9 / 2,M30-34,JPN,2:14:48
Masaki Shimoju (M27),2:17:49,10,10 / 6,M25-29,JPN,2:17:49
Cesar Lizano (M29),2:17:50,11,11 / 7,M25-29,"Aserri, SJ, CRI",2:17:50
Michael McKeeman (M35),2:18:07,12,12 / 1,M35-39,"Ardmore, PA, USA",2:18:07
Liliya Shobukhova (F33),2:18:20,13,1 / 1,F30-34,RUS,2:17:27
Jed Christiansen (M24),2:18:31,14,13 / 3,M20-24,"Greenville, PA, USA",2:18:31
Joseph Chirlee (M31),2:18:36,15,14 / 3,M30-34,"Colorado Springs, CO, USA",2:18:36
Adam MacDowell (M32),2:18:47,16,15 / 4,M30-34,"Saint Louis, MO, USA",2:18:47
Matt Levassiur (M30),2:18:58,17,16 / 5,M30-34,"Alamosa, CO, USA",2:18:58
Lucas Meyer (M28),2:19:03,18,17 / 8,M25-29,"Ridgefield, CT, USA",2:19:03
Thomas Frazer (M30),2:19:42,19,18 / 6,M30-34,"Indianaoplis, IN, USA",2:19:42
Glenn Randall (M25),2:20:40,20,19 / 9,M25-29,"Mesa, CO, USA",2:20:40
Eric Loeffler (M34),2:20:56,21,20 / 7,M30-34,"Fargo, ND, USA",2:20:56
Andrew Dumm (M26),2:21:38,22,21 / 10,M25-29,"Arlington, VA, USA",2:21:38
Jason Ryf (M40),2:21:40,23,22 / 1,M40-44,"Oshkosh, WI, USA",2:18:15
Joseph Moore (M27),2:21:50,24,23 / 11,M25-29,"Raleigh, NC, USA",2:21:50
Charles Hillig (M25),2:21:57,25,24 / 12,M25-29,"Denver, CO, USA",2:21:57
Tim Tollefson (M26),2:21:59,26,25 / 13,M25-29,"San Diego, CA, USA",2:21:59
Ejegayehu Dibaba (F29),2:22:09,27,2 / 1,F25-29,ETH,2:22:09
Marc Jeuland (M32),2:22:18,28,26 / 8,M30-34,"Chapel Hill, NC, USA",2:22:18
Takayuki Matsumiya (M31),2:22:26,29,27 / 9,M30-34,JPN,2:22:26
Brandon Mull (M25),2:22:34,30,28 / 14,M25-29,"Wheaton, IL, USA",2:22:34
