"Last Name, First Name",OverAll,Sex Place,DIV,Net Time,Country
Farah Mo (M),1,1Ê/Ê1,M35-39,2:05:11,GBR
Bayih Mosinet Geremew (M),2,2Ê/Ê1,M25-29,2:05:24,ETH
Osako Suguru (M),3,3Ê/Ê2,M25-29,2:05:50,JPN
Kipkemoi Kenneth (M),4,4Ê/Ê1,M30-34,2:05:57,KEN
Rupp Galen (M),5,5Ê/Ê2,M30-34,2:06:21,USA
Kirui Geoffrey (M),6,6Ê/Ê3,M25-29,2:06:45,KEN
Kirui Abel (M),7,7Ê/Ê2,M35-39,2:07:52,KEN
Fujimoto Taku (M),8,8Ê/Ê4,M25-29,2:07:57,JPN
Karoki Bedan (M),9,9Ê/Ê5,M25-29,2:07:59,KEN
Legese Birhanu (M),10,10Ê/Ê1,M20-24,2:08:41,ETH
El Aaraby Mohamed Reda (M),11,11Ê/Ê6,M25-29,2:09:16,MAR
Suzuki Yohei (M),12,12Ê/Ê2,M20-24,2:12:18,JPN
Kibet Elkanah (M),13,13Ê/Ê3,M35-39,2:12:35,USA
Braun Aaron (M),14,14Ê/Ê3,M30-34,2:13:16,USA
Hampton Jonas (M),15,15Ê/Ê7,M25-29,2:14:19,USA
Stinson Parker (M),16,16Ê/Ê8,M25-29,2:14:29,USA
Osman Ahmed (M),17,17Ê/Ê4,M30-34,2:14:40,USA
Kipyego Bernard (M),18,18Ê/Ê5,M30-34,2:16:12,KEN
Kawauchi Yuki (M),19,19Ê/Ê6,M30-34,2:16:26,JPN
McCandless Tyler (M),20,20Ê/Ê7,M30-34,2:16:37,USA
Edwards Reece (M),21,21Ê/Ê9,M25-29,2:16:43,AUS
Epperson Andrew (M),22,22Ê/Ê10,M25-29,2:17:01,USA
Peterson Alan (M),23,23Ê/Ê11,M25-29,2:17:15,USA
Kosgei Brigid (F),24,1Ê/Ê1,F20-24,2:18:35,KEN
Ndhlovu Pardon (M),25,24Ê/Ê8,M30-34,2:18:49,ZIM
Wyatt Kyle (M),26,25Ê/Ê4,M35-39,2:18:55,USA
Lustgarten Brett (M),27,26Ê/Ê12,M25-29,2:18:59,USA
Bang Eric (M),28,27Ê/Ê13,M25-29,2:19:03,CAN
Criniti David (M),29,28Ê/Ê1,M40-44,2:20:10,AUS
Williams Hugh (M),30,29Ê/Ê14,M25-29,2:20:29,AUS
Dandena Kiya (M),31,30Ê/Ê15,M25-29,2:20:58,USA
Fletcher Ben (M),32,31Ê/Ê9,M30-34,2:21:01,USA
Peters Nathan (M),33,32Ê/Ê16,M25-29,2:21:02,USA
Johnson Jeremy (M),34,33Ê/Ê3,M20-24,2:21:10,USA
Crain Johnny (M),35,34Ê/Ê17,M25-29,2:21:15,USA
Dereje Roza (F),36,2Ê/Ê2,F20-24,2:21:18,ETH
Landes Evan (M),37,35Ê/Ê18,M25-29,2:21:32,USA
Saavedra de leon Roberto (M),38,36Ê/Ê10,M30-34,2:21:32,MEX
Kremske Dan (M),39,37Ê/Ê19,M25-29,2:22:00,USA
Demise Shure (F),40,3Ê/Ê3,F20-24,2:22:15,ETH
McLeod Jason (M),41,38Ê/Ê20,M25-29,2:22:22,USA
Root Ryan (M),42,39Ê/Ê21,M25-29,2:22:42,USA
Salukombo Makorobondo (M),43,40Ê/Ê11,M30-34,2:23:07,USA
Medina Oscar (M),44,41Ê/Ê22,M25-29,2:23:14,USA
Neff Jackson (M),45,42Ê/Ê23,M25-29,2:23:28,USA
Lenehan Matt (M),46,43Ê/Ê24,M25-29,2:23:55,USA
Bohach Adam (M),47,44Ê/Ê12,M30-34,2:23:56,USA
Dewitt John (M),48,45Ê/Ê25,M25-29,2:24:15,USA
Rand Matt (M),49,46Ê/Ê26,M25-29,2:24:20,USA
