"Last Name, First Name",Time,OverAll,Sex Place,DIV,Country
Benson Kipruto (M),2:04:24,1,1 / 1,M30-34, Kenya
Seifu Tura Abdiwak (M),2:04:49,2,2 / 1,M25-29, Ethiopia
John Korir (M),2:05:01,3,3 / 2,M25-29, Kenya
Bernard Koech (M),2:07:15,4,4 / 2,M30-34, Kenya
Shifera Tamru Aredo (M),2:07:53,5,5 / 1,M20-24, Ethiopia
Kyohei Hosoya (M),2:08:05,6,6 / 3,M25-29, Japan
Conner Mantz (M),2:08:16,7,7 / 4,M25-29,USA
Hamza Sahli (M),2:08:22,8,8 / 5,M25-29, Morocco
Eric Kiprono Kiptanui (M),2:08:26,9,9 / 3,M30-34, Netherlands
Dong Guojian (M),2:08:53,10,10 / 1,M35-39, China
Zachery Panning (M),2:09:28,11,11 / 6,M25-29,USA
Matt McDonald (M),2:09:49,12,12 / 7,M25-29,USA
Nicolas Montanez (M),2:09:55,13,13 / 8,M25-29,USA
Riki Nakanishi (M),2:09:59,14,14 / 4,M30-34, Japan
Abayneh Degu Tsehay (M),2:10:55,15,15 / 2,M20-24, Ethiopia
Pat Tiernan (M),2:11:02,16,16 / 9,M25-29, Australia
Amanuel Mesel Tikue (M),2:11:38,17,17 / 5,M30-34, Eritrea
Clayton Young (M),2:11:51,18,18 / 10,M25-29,USA
Turner Wiley (M),2:11:59,19,19 / 11,M25-29,USA
Hiroto Fujimagari (M),2:13:04,20,20 / 12,M25-29, Japan
Stephen Kissa (M),2:13:16,21,21 / 6,M30-34, Uganda
Wilkerson Given (M),2:13:42,22,22 / 7,M30-34,USA
Kiyoshi Koga (M),2:13:42,23,23 / 13,M25-29, Japan
Reid Buchanan (M),2:14:06,24,24 / 14,M25-29,USA
Ruth Chepngetich (F),2:14:18,25,1 / 1,F25-29, Kenya
Paul Hogan (M),2:14:55,26,25 / 15,M25-29,USA
Jp Flavin (M),2:14:55,27,26 / 3,M20-24,USA
Steven Martinez (M),2:15:22,28,27 / 16,M25-29,USA
Alan Peterson (M),2:15:30,29,28 / 8,M30-34,USA
Tyler McCandless (M),2:15:50,30,29 / 2,M35-39,USA
Frank Lara (M),2:15:57,31,30 / 17,M25-29,USA
Chase Weaverling (M),2:16:03,32,31 / 18,M25-29,USA
Yang Shaohui (M),2:16:11,33,32 / 9,M30-34, China
Garret Lee (M),2:18:20,34,33 / 19,M25-29,USA
Emily Sisson (F),2:18:29,35,2 / 1,F30-34,USA
Dan Kremske (M),2:18:33,36,34 / 10,M30-34,USA
Donald Cowart (M),2:18:39,37,35 / 3,M35-39,USA
Peng Jianhua (M),2:19:06,38,36 / 20,M25-29, China
Jonathan Hiley (M),2:19:37,39,37 / 4,M35-39, Great Britain
Koki Ozawa (M),2:19:54,40,38 / 21,M25-29, Japan
Prescott Leach (M),2:19:57,41,39 / 1,M40-44,USA
Kevin Havel (M),2:20:42,42,40 / 11,M30-34,USA
Vivian Jerono Kiplagat (F),2:20:52,43,3 / 2,F30-34, Kenya
Adam Jones (M),2:21:12,44,41 / 22,M25-29,USA
Mitch Baum (M),2:21:18,45,42 / 23,M25-29,USA
Ruti Aga Sora (F),2:21:41,46,4 / 2,F25-29, Ethiopia
Luke Rovenstine (M),2:21:45,47,43 / 4,M20-24,USA
John Dressel (M),2:21:45,48,44 / 24,M25-29,USA
Michael Lederhouse (M),2:21:50,49,45 / 25,M25-29,USA
Michael Duggan (M),2:21:53,50,46 / 26,M25-29,USA
Michael Babinec (M),2:22:07,51,47 / 27,M25-29,USA
