Year,Country,Gender,Age,Time,Seconds
2023,KEN,M,35,02:02:42,7362.0
2023,KEN,M,H,02:03:13,7393.0
2023,ETH,M,H,02:03:24,7404.0
2023,KEN,M,30,02:04:22,7462.0
2023,ETH,M,H,02:04:42,7482.0
2023,ETH,M,30,02:04:44,7484.0
2023,KEN,M,30,02:04:49,7489.0
2023,KEN,M,H,02:04:56,7496.0
2023,GER,M,H,02:04:58,7498.0
2023,KEN,M,H,02:05:05,7505.0
2023,SUI,M,40,02:05:10,7510.0
2023,ERI,M,35,02:05:20,7520.0
2023,KEN,M,H,02:05:42,7542.0
2023,ETH,M,H,02:05:44,7544.0
2023,KEN,M,H,02:05:57,7557.0
2023,BEL,M,H,02:08:09,7689.0
2023,KEN,M,30,02:08:22,7702.0
2023,GER,M,H,02:08:28,7708.0
2023,KEN,M,H,02:08:47,7727.0
2023,GER,M,30,02:08:48,7728.0
2023,KEN,M,H,02:09:32,7772.0
2023,GBR,M,H,02:09:50,7790.0
2023,CHN,M,30,02:09:54,7794.0
2023,USA,M,H,02:10:16,7816.0
2023,ERI,M,30,02:10:24,7824.0
2023,ETH,M,H,02:11:04,7864.0
2023,USA,M,35,02:11:44,7904.0
2023,AUS,M,35,02:11:47,7907.0
2023,ETH,M,H,02:12:24,7944.0
2023,ETH,M,35,02:12:31,7951.0
2023,ERI,M,H,02:12:34,7954.0
2023,GER,M,30,02:12:39,7959.0
2023,MGL,M,30,02:12:41,7961.0
2023,POL,M,30,02:13:13,7993.0
2023,CHN,M,H,02:13:14,7994.0
2023,ECU,M,H,02:13:33,8013.0
2023,BEL,M,30,02:13:39,8019.0
2023,ECU,M,H,02:14:07,8047.0
2023,USA,M,35,02:14:28,8068.0
2023,POR,M,30,02:14:49,8089.0
2023,CHN,M,35,02:14:58,8098.0
2023,USA,M,30,02:15:25,8125.0
2023,ETH,M,35,02:15:40,8140.0
2023,CHN,M,30,02:15:40,8140.0
2023,URU,M,35,02:16:09,8169.0
2023,LTU,M,35,02:16:16,8176.0
2023,HKG,M,H,02:16:22,8182.0
2023,IRI,M,30,02:17:14,8234.0
2023,USA,M,30,02:17:20,8240.0
2023,GER,M,35,02:17:37,8257.0
2023,JPN,M,30,02:17:39,8259.0
2023,IRL,M,30,02:17:51,8271.0
2023,USA,M,H,02:17:51,8271.0
2023,USA,M,35,02:18:18,8298.0
2023,FRA,M,30,02:18:19,8299.0
2023,GBR,M,30,02:18:27,8307.0
2023,ECU,M,H,02:18:38,8318.0
2023,FRA,M,H,02:18:43,8323.0
2023,GER,M,H,02:19:15,8355.0
2023,GER,M,30,02:19:16,8356.0
2023,LUX,M,40,02:19:20,8360.0
2023,BRA,M,40,02:19:33,8373.0
2023,USA,M,35,02:19:36,8376.0
2023,ETH,M,H,02:19:39,8379.0
2023,GER,M,H,02:19:48,8388.0
2023,AUS,M,30,02:19:55,8395.0
2023,FRA,M,30,02:19:56,8396.0
2023,USA,M,30,02:20:02,8402.0
2023,GER,M,40,02:21:02,8462.0
2023,NOR,M,45,02:21:03,8463.0
2023,BEL,M,35,02:21:13,8473.0
2023,JOR,M,35,02:21:17,8477.0
2023,SUI,M,35,02:21:18,8478.0
2023,USA,M,H,02:22:03,8523.0
2023,RSA,M,30,02:22:12,8532.0
2023,ITA,M,H,02:22:12,8532.0
2023,USA,M,30,02:22:32,8552.0
2023,GBR,M,30,02:22:33,8553.0
2023,MEX,M,30,02:22:36,8556.0
2023,IRL,M,35,02:22:49,8569.0
2023,IRL,M,35,02:22:51,8571.0
2023,ARG,M,H,02:22:56,8576.0
2023,GBR,M,H,02:23:04,8584.0
2023,BEL,M,H,02:23:06,8586.0
2023,SWE,M,30,02:23:21,8601.0
2023,ESP,M,45,02:23:27,8607.0
2023,JPN,M,30,02:23:27,8607.0
2023,HKG,M,40,02:23:27,8607.0
2023,FIN,M,35,02:23:30,8610.0
2023,USA,M,H,02:23:30,8610.0
2023,BEL,M,30,02:23:31,8611.0
2023,USA,M,H,02:23:35,8615.0
2023,USA,M,H,02:23:41,8621.0
2023,IRL,M,40,02:23:49,8629.0
2023,SUI,M,H,02:23:51,8631.0
2023,USA,M,H,02:23:59,8639.0
2023,CHN,M,30,02:24:04,8644.0
2023,GBR,M,40,02:24:06,8646.0
2023,CHN,M,H,02:24:08,8648.0
2023,GBR,M,40,02:24:11,8651.0
2014,,M,30.0,02:02:57,7377.0
2014,,M,30.0,02:03:13,7393.0
2014,,M,20.0,02:05:56,7556.0
2014,,M,20.0,02:06:39,7599.0
2014,,M,20.0,02:07:28,7648.0
2014,,M,30.0,02:07:35,7655.0
2014,,M,20.0,02:08:33,7713.0
2014,,M,20.0,02:10:18,7818.0
2014,,M,20.0,02:10:27,7827.0
2014,,M,20.0,02:11:25,7885.0
2014,,M,30.0,02:11:36,7896.0
2014,,M,40.0,02:12:45,7965.0
2014,,M,30.0,02:12:49,7969.0
2014,,M,30.0,02:13:00,7980.0
2014,,M,35.0,02:14:35,8075.0
2014,,M,30.0,02:15:18,8118.0
2014,,M,20.0,02:16:43,8203.0
2014,,M,30.0,02:16:45,8205.0
2014,,M,35.0,02:17:25,8245.0
2014,,M,20.0,02:17:44,8264.0
2014,,M,20.0,02:19:11,8351.0
2014,,M,20.0,02:19:27,8367.0
2014,,M,30.0,02:19:36,8376.0
2014,,M,35.0,02:20:23,8423.0
2014,,M,30.0,02:20:27,8427.0
2014,,M,35.0,02:20:38,8438.0
2014,,M,20.0,02:20:39,8439.0
2014,,M,30.0,02:20:55,8455.0
2014,,M,30.0,02:22:18,8538.0
