official_time,place_overall,net_time,country_citizenship,display_name,gender,gender_result,division_result,year,division,age_graded_time,age,city,state,residence,pace,overall,seconds,first_name,last_name,bib,name,country_residence,contry_citizenship,name_suffix,5k,10k,15k,20k,half,25k,30k,35k,40k,projected_time
02:09:51,1,02:09:51,Kenya,Benson Kipruto,M,1.0,,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,
02:10:37,2,02:10:37,Ethiopia,Lemi Berhanu,M,2.0,,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,
02:10:38,3,02:10:38,Ethiopia,Jemal Yimer,M,3.0,,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,
02:10:47,4,02:10:47,Ethiopia,Tsedat Ayana,M,4.0,,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,
02:11:11,5,02:11:11,Kenya,Leonard Barsoton,M,5.0,,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,
02:11:16,6,02:11:16,Ethiopia,Bayelign Teshager,M,6.0,,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,
02:11:26,7,02:11:26,USA,Colin Bennie,M,7.0,,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,
02:11:38,8,02:11:38,Ethiopia,Dejene Debela,M,8.0,,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,
02:11:40,9,02:11:40,Kenya,Wilson Chebet,M,9.0,,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,
02:11:44,10,02:11:44,USA,Cj Albertson,M,10.0,,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,
02:11:48,11,02:11:48,Kenya,Felix Kandie,M,11.0,,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,
02:11:56,12,02:11:56,New Zealand,Jake Robertson,M,12.0,,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,
02:12:00,13,02:12:00,Kenya,Geoffrey Kirui,M,13.0,,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,
02:12:11,14,02:12:11,Ethiopia,Asefa Mengstu,M,14.0,,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,
02:12:37,15,02:12:37,Ethiopia,Kelkile Gezahegn,M,15.0,,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,
02:06:51,1,02:06:51,Kenya,Evans Chebet,M,1,1,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,
02:07:21,2,02:07:21,Kenya,Lawrence Cherono,M,2,2,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,
02:07:27,3,02:07:27,Kenya,Benson Kipruto,M,3,3,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,
02:07:53,4,02:07:53,Tanzania,Gabriel Geay,M,4,4,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,
02:08:47,5,02:08:47,Kenya,Eric Kiptanui,M,5,5,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,
02:08:50,6,02:08:50,Kenya,Albert Korir,M,6,6,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,
02:08:52,7,02:08:52,USA,Scott Fauble,M,7,7,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,
02:08:58,8,02:08:58,Ethiopia,Jemal Yimer,M,8,8,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,
02:09:07,9,02:09:07,USA,Elkanah Kibet,M,9,9,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,
02:09:16,10,02:09:16,Ethiopia,Kinde Atanaw,M,10,10,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,
02:09:43,11,02:09:43,Ethiopia,Lemi Berhanu,M,11,11,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,
02:09:44,12,02:09:44,Kenya,Bethwell Yegon,M,12,12,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,
02:10:23,13,02:10:23,USA,Cj Albertson,M,13,13,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,
02:10:35,14,02:10:35,USA,Matthew Mcdonald,M,14,14,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,
02:10:52,15,02:10:52,Canada,Trevor Hofbauer,M,15,15,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,
02:05:54,1,, Kenya,Evans Chebet,M,1,1,2023.0,M0-39,02:05:54,34,Kapsabet,,,,,,,,,,,,,,,,,,,,,,
02:06:04,2,, Tanzania,Gabriel Geay,M,2,2,2023.0,M0-39,02:06:04,26,Tampa,FL,,,,,,,,,,,,,,,,,,,,,
02:06:06,3,, Kenya,Benson Kipruto,M,3,3,2023.0,M0-39,02:06:06,32,Kapsabet,,,,,,,,,,,,,,,,,,,,,,
02:08:01,4,, Kenya,Albert Korir,M,4,4,2023.0,M0-39,02:08:01,29,,,,,,,,,,,,,,,,,,,,,,,
02:08:35,5,, Morocco,Zouhair Talbi,M,5,5,2023.0,M0-39,02:08:35,28,,,,,,,,,,,,,,,,,,,,,,,
02:09:23,6,, Kenya,Eliud Kipchoge,M,6,6,2023.0,M0-39,02:08:13,38,,,,,,,,,,,,,,,,,,,,,,,
02:09:44,7,,USA,Scott Fauble,M,7,7,2023.0,M0-39,02:09:44,31,Flagstaff,AZ,,,,,,,,,,,,,,,,,,,,,
02:09:46,8,, France,Hassan Chahdi,M,8,8,2023.0,M0-39,02:09:46,33,,,,,,,,,,,,,,,,,,,,,,,
02:10:04,9,, Kenya,John Korir,M,9,9,2023.0,M0-39,02:10:04,26,,,,,,,,,,,,,,,,,,,,,,,
02:10:17,10,,USA,Matthew Mcdonald,M,10,10,2023.0,M0-39,02:10:17,29,Cambridge,MA,,,,,,,,,,,,,,,,,,,,,
02:10:25,11,,USA,Conner Mantz,M,11,11,2023.0,M0-39,02:10:25,26,,,,,,,,,,,,,,,,,,,,,,,
02:10:33,12,,USA,Cj Albertson,M,12,12,2023.0,M0-39,02:10:33,29,Fresno,CA,,,,,,,,,,,,,,,,,,,,,
02:10:52,13,,USA,Nico Montanez,M,13,13,2023.0,M0-39,02:10:52,29,,,,,,,,,,,,,,,,,,,,,,,
02:11:26,14,, Ethiopia,Shura Kitata,M,14,14,2023.0,M0-39,02:11:26,26,,,,,,,,,,,,,,,,,,,,,,,
02:11:50,15,, Ethiopia,Andualem Belay,M,15,15,2023.0,M0-39,02:11:50,31,,,,,,,,,,,,,,,,,,,,,,,
02:12:22,16,, Germany,Hendrik Pfeiffer,M,16,16,2023.0,M0-39,02:12:22,30,,,,,,,,,,,,,,,,,,,,,,,
2:08:37,,,,Meb Keflezighi,M,1,1,2014.0,,,38,,,"San Diego, CA, USA",00:04:54,1,7717.0,Meb,Keflezighi,,,,,,,,,,,,,,,
2:08:48,,,,Wilson Chebet,M,2,1,2014.0,,,28,,,Marakwet,00:04:54,2,7728.0,Wilson,Chebet,,,,,,,,,,,,,,,
2:08:50,,,,Frankline Chepkwony,M,3,2,2014.0,,,29,,,Koibatek,00:04:54,3,7730.0,Frankline,Chepkwony,,,,,,,,,,,,,,,
2:09:37,,,,Vitaliy Shafar,M,4,1,2014.0,,,32,,,Lutsk,00:04:56,4,7777.0,Vitaliy,Shafar,,,,,,,,,,,,,,,
2:09:50,,,,Markos Geneti,M,5,3,2014.0,,,29,,,Addis Ababa,00:04:57,5,7790.0,Markos,Geneti,,,,,,,,,,,,,,,
2:11:03,,,,Joel Kimurer,M,6,4,2014.0,,,26,,,Iten,00:04:59,6,7863.0,Joel,Kimurer,,,,,,,,,,,,,,,
2:11:47,,,,Nicholas Arciniaga,M,7,2,2014.0,,,30,,,Midvale,00:05:01,7,7907.0,Nicholas,Arciniaga,,,,,,,,,,,,,,,
2:11:57,,,,Jeffrey Eggleston,M,8,5,2014.0,,,29,,,"Boulder, CO, USA",00:05:01,8,7917.0,Jeffrey,Eggleston,,,,,,,,,,,,,,,
2:12:34,,,,Paul Lonyangata,M,9,3,2014.0,,,31,,,Eldoret,00:05:03,9,7954.0,Paul,Lonyangata,,,,,,,,,,,,,,,
2:12:43,,,,Adil Annani,M,10,4,2014.0,,,33,,,Marrakesh,00:05:03,10,7963.0,Adil,Annani,,,,,,,,,,,,,,,
2:12:52,,,,Josphat Boit,M,11,5,2014.0,,,30,,,"Mammoth Lakes, CA, USA",00:05:04,11,7972.0,Josphat,Boit,,,,,,,,,,,,,,,
2:14:28,,,,Craig Leon,M,12,6,2014.0,,,29,,,"Eugene, OR, USA",00:05:07,12,8068.0,Craig,Leon,,,,,,,,,,,,,,,
2:14:40,,,,Mike G. Morgan,M,13,6,2014.0,,,34,,,"Rochester Hills, MI, USA",00:05:08,13,8080.0,Mike G. Morgan,,,,,,,,,,,,,,,,
2:14:56,,,,Koichi Sakai,M,14,7,2014.0,,,28,,,Chiba,00:05:08,14,8096.0,Koichi,Sakai,,,,,,,,,,,,,,,
2:14:59,,,,Lusapho April,M,15,7,2014.0,,,31,,,Uitenhage,00:05:08,15,8099.0,Lusapho,April,,,,,,,,,,,,,,,
2:16:06,,,,Abdi Abdirahman,M,16,2,2014.0,,,35,,,"Tucson, AZ, USA",00:05:11,16,8166.0,Abdi,Abdirahman,,,,,,,,,,,,,,,
2:17:12,,,,Micah Kogo,M,17,8,2014.0,,,27,,,Eldoret,00:05:13,17,8232.0,Micah,Kogo,,,,,,,,,,,,,,,
2:17:16,,,,Brett Gotcher,M,18,9,2014.0,,,29,,,"La Selva Beach, CA, USA",00:05:14,18,8236.0,Brett,Gotcher,,,,,,,,,,,,,,,
2:09:17,0.0,,,Lelisa Desisa,M,1.0,1.0,2015.0,,,25.0,Ambo,,,0:04:56,1.0,7757.0,Lelisa,Desisa,3,"Desisa, Lelisa",ETH,,,0:14:43,0:29:43,0:44:57,1:00:29,1:04:02,1:16:07,1:32:00,1:47:59,2:02:39,-
2:09:48,1.0,,,Yemane Adhane Tsegay,M,2.0,2.0,2015.0,,,30.0,Addis Ababa,,,0:04:58,2.0,7788.0,Yemane Adhane,Tsegay,4,"Tsegay, Yemane Adhane",ETH,,,0:14:43,0:29:43,0:44:58,1:00:28,1:04:01,1:16:07,1:31:59,1:47:59,2:02:42,-
2:10:22,2.0,,,Wilson Chebet,M,3.0,3.0,2015.0,,,29.0,Marakwet,,,0:04:59,3.0,7822.0,Wilson,Chebet,8,"Chebet, Wilson",KEN,,,0:14:43,0:29:43,0:44:57,1:00:29,1:04:02,1:16:07,1:32:00,1:47:59,2:03:01,-
2:10:47,3.0,,,Bernard Kipyego,M,4.0,4.0,2015.0,,,28.0,Eldoret,,,0:05:00,4.0,7847.0,Bernard,Kipyego,11,"Kipyego, Bernard",KEN,,,0:14:43,0:29:44,0:45:01,1:00:29,1:04:02,1:16:07,1:32:00,1:48:03,2:03:47,-
2:10:49,4.0,,,Wesley Korir,M,5.0,5.0,2015.0,,,32.0,Kitale,,,0:05:00,5.0,7849.0,Wesley,Korir,10,"Korir, Wesley",KEN,,,0:14:43,0:29:44,0:44:58,1:00:28,1:04:01,1:16:07,1:32:00,1:47:59,2:03:27,-
2:10:52,5.0,,,Frankline Chepkwony,M,6.0,6.0,2015.0,,,30.0,Koibatek,,,0:05:00,6.0,7852.0,Frankline,Chepkwony,9,"Chepkwony, Frankline",KEN,,,0:14:44,0:29:45,0:44:59,1:00:29,1:04:02,1:16:07,1:32:00,1:47:59,2:03:18,-
2:11:20,6.0,,,Dathan Ritzenhein,M,7.0,7.0,2015.0,,,32.0,Rockford,MI,,0:05:01,7.0,7880.0,Dathan,Ritzenhein,14,"Ritzenhein, Dathan",USA,,,0:14:45,0:29:45,0:45:20,1:00:43,1:04:03,1:16:05,1:31:59,1:48:06,2:04:05,-
2:12:42,7.0,,,Meb Keflezighi,M,8.0,8.0,2015.0,,,39.0,San Diego,CA,,0:05:04,8.0,7962.0,Meb,Keflezighi,1,"Keflezighi, Meb",USA,,,0:14:44,0:29:44,0:44:59,1:00:30,1:04:02,1:16:07,1:31:59,1:47:59,2:04:58,-
2:13:35,8.0,,,Tadese Tola,M,9.0,9.0,2015.0,,,27.0,Addis Ababa,,,0:05:06,9.0,8015.0,Tadese,Tola,5,"Tola, Tadese",ETH,,,0:14:43,0:29:43,0:44:58,1:00:28,1:04:02,1:16:07,1:32:00,1:48:00,2:04:39,-
