official_time,place_overall,net_time,contry_citizenship,display_name,gender,gender_result,division_result,year,division,age_graded_time,age,city,state,seconds,residence,pace,overall,first_name,last_name,bib,name,country_residence,name_suffix,5k,10k,15k,20k,half,25k,30k,35k,40k,projected_time
02:09:51,1,02:09:51,Kenya,Benson Kipruto,M,1.0,,2021.0,,,,,,7791.0,,,,Benson,Kipruto,,,,,,,,,,,,,,
02:10:37,2,02:10:37,Ethiopia,Lemi Berhanu,M,2.0,,2021.0,,,,,,7837.0,,,,Lemi,Berhanu,,,,,,,,,,,,,,
02:10:38,3,02:10:38,Ethiopia,Jemal Yimer,M,3.0,,2021.0,,,,,,7838.0,,,,Jemal,Yimer,,,,,,,,,,,,,,
02:10:47,4,02:10:47,Ethiopia,Tsedat Ayana,M,4.0,,2021.0,,,,,,7847.0,,,,Tsedat,Ayana,,,,,,,,,,,,,,
02:11:11,5,02:11:11,Kenya,Leonard Barsoton,M,5.0,,2021.0,,,,,,7871.0,,,,Leonard,Barsoton,,,,,,,,,,,,,,
02:11:16,6,02:11:16,Ethiopia,Bayelign Teshager,M,6.0,,2021.0,,,,,,7876.0,,,,Bayelign,Teshager,,,,,,,,,,,,,,
02:11:26,7,02:11:26,USA,Colin Bennie,M,7.0,,2021.0,,,,,,7886.0,,,,Colin,Bennie,,,,,,,,,,,,,,
02:11:38,8,02:11:38,Ethiopia,Dejene Debela,M,8.0,,2021.0,,,,,,7898.0,,,,Dejene,Debela,,,,,,,,,,,,,,
02:11:40,9,02:11:40,Kenya,Wilson Chebet,M,9.0,,2021.0,,,,,,7900.0,,,,Wilson,Chebet,,,,,,,,,,,,,,
02:11:44,10,02:11:44,USA,Cj Albertson,M,10.0,,2021.0,,,,,,7904.0,,,,Cj,Albertson,,,,,,,,,,,,,,
02:11:48,11,02:11:48,Kenya,Felix Kandie,M,11.0,,2021.0,,,,,,7908.0,,,,Felix,Kandie,,,,,,,,,,,,,,
02:11:56,12,02:11:56,New Zealand,Jake Robertson,M,12.0,,2021.0,,,,,,7916.0,,,,Jake,Robertson,,,,,,,,,,,,,,
02:12:00,13,02:12:00,Kenya,Geoffrey Kirui,M,13.0,,2021.0,,,,,,7920.0,,,,Geoffrey,Kirui,,,,,,,,,,,,,,
02:12:11,14,02:12:11,Ethiopia,Asefa Mengstu,M,14.0,,2021.0,,,,,,7931.0,,,,Asefa,Mengstu,,,,,,,,,,,,,,
02:12:37,15,02:12:37,Ethiopia,Kelkile Gezahegn,M,15.0,,2021.0,,,,,,7957.0,,,,Kelkile,Gezahegn,,,,,,,,,,,,,,
02:13:47,16,02:13:47,USA,Scott Fauble,M,16.0,,2021.0,,,,,,8027.0,,,,Scott,Fauble,,,,,,,,,,,,,,
02:14:29,17,02:14:29,USA,Scott Smith,M,17.0,,2021.0,,,,,,8069.0,,,,Scott,Smith,,,,,,,,,,,,,,
02:14:47,18,02:14:47,USA,Harvey Nelson,M,18.0,,2021.0,,,,,,8087.0,,,,Harvey,Nelson,,,,,,,,,,,,,,
02:15:03,19,02:15:03,Kenya,Filex Kiprotich,M,19.0,,2021.0,,,,,,8103.0,,,,Filex,Kiprotich,,,,,,,,,,,,,,
02:15:47,20,02:15:47,USA,Matthew Mcdonald,M,20.0,,2021.0,,,,,,8147.0,,,,Matthew,Mcdonald,,,,,,,,,,,,,,
02:15:51,21,02:15:51,USA,Paul Hogan,M,21.0,,2021.0,,,,,,8151.0,,,,Paul,Hogan,,,,,,,,,,,,,,
02:16:07,22,02:16:07,USA,Reid Buchanan,M,22.0,,2021.0,,,,,,8167.0,,,,Reid,Buchanan,,,,,,,,,,,,,,
02:16:27,23,02:16:27,USA,Augustus Maiyo,M,23.0,,2021.0,,,,,,8187.0,,,,Augustus,Maiyo,,,,,,,,,,,,,,
02:19:23,24,02:19:23,USA,Abdi Abdirahman,M,24.0,,2021.0,,,,,,8363.0,,,,Abdi,Abdirahman,,,,,,,,,,,,,,
02:21:01,25,02:21:01,Canada,Thomas Toth,M,25.0,,2021.0,,,,,,8461.0,,,,Thomas,Toth,,,,,,,,,,,,,,
02:21:04,26,02:21:04,Zimbabwe,Pardon Ndhlovu,M,26.0,,2021.0,,,,,,8464.0,,,,Pardon,Ndhlovu,,,,,,,,,,,,,,
