Last Name,First Name,Division,Country,BIB,Overall Place,Time,seconds,Year,Gender,marathon
Kipchoge,Eliud,25-29,KEN,2,1,02:04:11,7451.0,2014,M,Chicago
Kitwara,Sammy,25-29,KEN,6,2,02:04:28,7468.0,2014,M,Chicago
Chumba,Dickson,25-29,KEN,7,3,02:04:32,7472.0,2014,M,Chicago
Bekele,Kenenisa,30-34,ETH,1,4,02:05:51,7551.0,2014,M,Chicago
Koech,Bernard,25-29,KEN,5,5,02:08:30,7710.0,2014,M,Chicago
Ghebreslassie,Ghirmay,19 and under,ERI,51,6,02:09:08,7748.0,2014,M,Chicago
Rutto,Lani,25-29,KEN,43,7,02:10:42,7842.0,2014,M,Chicago
Korir,Wesley,30-34,KEN,8,8,02:11:09,7869.0,2014,M,Chicago
Curtis,Bobby,25-29,USA,17,9,02:11:20,7880.0,2014,M,Chicago
Kobayashi,Koji,25-29,JPN,9,10,02:11:43,7903.0,2014,M,Chicago
Riley,Jake,25-29,USA,35,11,02:13:16,7996.0,2014,M,Chicago
Proctor,Gabe,20-24,USA,30,12,02:13:45,8025.0,2014,M,Chicago
Landry,Christo,25-29,USA,23,13,02:14:30,8070.0,2014,M,Chicago
Young,Tim,25-29,USA,27,14,02:14:40,8080.0,2014,M,Chicago
Morgan,Mike,30-34,USA,21,15,02:14:42,8082.0,2014,M,Chicago
Okamoto,Naoki,30-34,JPN,16,16,02:15:19,8119.0,2014,M,Chicago
Sasaki,Satoru,25-29,JPN,10,17,02:15:25,8125.0,2014,M,Chicago
Fukuyama,Ryosuke,30-34,JPN,12,18,02:15:33,8133.0,2014,M,Chicago
Leon,Craig,25-29,USA,19,19,02:16:00,8160.0,2014,M,Chicago
Trujillo,Carlos,25-29,USA,20,20,02:16:49,8209.0,2014,M,Chicago
Yonezawa,Rui,25-29,JPN,15,21,02:17:30,8250.0,2014,M,Chicago
Witt,Jason,20-24,USA,75,22,02:17:31,8251.0,2014,M,Chicago
Dewitt,John,20-24,USA,279,23,02:17:38,8258.0,2014,M,Chicago
Llano,Matthew,25-29,USA,36,24,02:17:43,8263.0,2014,M,Chicago
Rizzo,Patrick,30-34,USA,18,25,02:18:04,8284.0,2014,M,Chicago
Davis,Jesse,30-34,USA,32,26,02:18:13,8293.0,2014,M,Chicago
Humphrey,Luke,30-34,USA,22,27,02:18:19,8299.0,2014,M,Chicago
Gregg,Brendan,25-29,USA,37,28,02:18:30,8310.0,2014,M,Chicago
Christiansen,Jed,25-29,USA,304,29,02:18:55,8335.0,2014,M,Chicago
Frazer,Thomas,30-34,IRL,336,30,02:19:53,8393.0,2014,M,Chicago
Blume,Matthew,30-34,USA,362,31,02:20:28,8428.0,2014,M,Chicago
Mora,Jameson,30-34,USA,25,32,02:20:38,8438.0,2014,M,Chicago
Hensley,Matt,25-29,USA,345,33,02:20:53,8453.0,2014,M,Chicago
Chichester,Tim,25-29,USA,334,34,02:21:03,8463.0,2014,M,Chicago
Krong,Jake,30-34,USA,344,35,02:21:12,8472.0,2014,M,Chicago
Kremske,Dan,25-29,USA,33,36,02:21:17,8477.0,2014,M,Chicago
Macias,Mario,30-34,USA,24,37,02:22:47,8567.0,2014,M,Chicago
Weaver,Andrew,20-24,USA,341,38,02:22:50,8570.0,2014,M,Chicago
Barrett,Matt,25-29,USA,350,39,02:23:09,8589.0,2014,M,Chicago
Dessaix-Chin,Russell,35-39,AUS,327,40,02:23:12,8592.0,2014,M,Chicago
Johns,Ryan,25-29,USA,329,41,02:23:36,8616.0,2014,M,Chicago
Marol,Matthew,20-24,USA,77,42,02:23:51,8631.0,2014,M,Chicago
Zdroik,Evan,25-29,USA,326,43,02:24:03,8643.0,2014,M,Chicago
Finnel,Brian,25-29,USA,88,44,02:24:39,8679.0,2014,F,Chicago
Roeder,Madison,25-29,USA,335,45,02:24:55,8695.0,2014,M,Chicago
Glaz,Daniel,30-34,USA,352,46,02:25:17,8717.0,2014,M,Chicago
Carpenter,Joseph,25-29,USA,305,47,02:25:20,8720.0,2014,M,Chicago
Hendrix,Austin,25-29,USA,363,48,02:25:26,8726.0,2014,M,Chicago
Tenepaguay,Leonardo,25-29,ECU,40,49,02:25:34,8734.0,2014,M,Chicago
Dibaba,Mare,20-24,ETH,103,50,02:25:37,8737.0,2014,M,Chicago
Jonaitis,Jeff,30-34,USA,308,51,02:25:39,8739.0,2014,F,Chicago
Takata,Nobuaki,35-39,JPN,13,52,02:25:39,8739.0,2014,M,Chicago
Kiplagat,Florence,25-29,KEN,102,53,02:25:57,8757.0,2014,M,Chicago
Fyock,Chris,25-29,USA,91,54,02:26:05,8765.0,2014,F,Chicago
Kosgei,Simon,20-24,KEN,143,55,02:26:08,8768.0,2014,M,Chicago
Rotut Kipkalum,Richard,25-29,KEN,145,56,02:26:09,8769.0,2014,M,Chicago
Paul,Charlie,25-29,USA,360,57,02:26:13,8773.0,2014,M,Chicago
Dewitt,Jonathan,20-24,USA,306,58,02:26:35,8795.0,2014,M,Chicago
Kienzle,Ryan,25-29,USA,39,59,02:26:38,8798.0,2014,M,Chicago
Mariano,Gregory,25-29,USA,302,60,02:26:48,8808.0,2014,M,Chicago
Dibaba,Birhane,20-24,ETH,106,61,02:27:02,8822.0,2014,M,Chicago
Hastings,Amy,30-34,USA,107,62,02:27:03,8823.0,2014,F,Chicago
Moore,Joe,30-34,USA,144,63,02:27:05,8825.0,2014,F,Chicago
Laskowski,Conrad,25-29,USA,378,64,02:27:14,8834.0,2014,M,Chicago
Pearson,Neil,40-44,GBR,374,65,02:27:25,8845.0,2014,M,Chicago
Morales,Jonnatan,30-34,MEX,62,66,02:27:30,8850.0,2014,M,Chicago
Suda,Matt,25-29,CAN,323,67,02:27:45,8865.0,2014,M,Chicago
Davidson,Aaron,30-34,USA,84,68,02:27:57,8877.0,2014,M,Chicago
Wallor,Eric,30-34,USA,301,69,02:28:04,8884.0,2014,M,Chicago
Van Veen,Jeremy,35-39,USA,313,70,02:28:30,8910.0,2014,M,Chicago
Favela,Emisael,35-39,MEX,386,71,02:28:47,8927.0,2014,M,Chicago
McCurdy,Matt,35-39,USA,82,72,02:28:59,8939.0,2014,M,Chicago
Munoz,Jose,25-29,USA,311,73,02:29:06,8946.0,2014,M,Chicago
Capriolo,Michael,30-34,USA,321,74,02:29:21,8961.0,2014,M,Chicago
Denny,Jeffrey,20-24,USA,355,75,02:29:27,8967.0,2014,M,Chicago
Piedra Aviles,Bayron,30-34,ECU,41,76,02:29:29,8969.0,2014,M,Chicago
Williams,Richard,25-29,USA,1217,77,02:29:29,8969.0,2014,M,Chicago
Wilson,Mickey,30-34,USA,1013,78,02:29:35,8975.0,2014,M,Chicago
Lecointre,Jacques-Sylvain,30-34,FRA,1600,79,02:29:37,8977.0,2014,M,Chicago
Young,Phil,25-29,USA,76,80,02:29:45,8985.0,2014,M,Chicago
Ohara,Chip,30-34,USA,93,81,02:29:52,8992.0,2014,M,Chicago
Duncan,Andrew,45-49,USA,85,82,02:29:53,8993.0,2014,M,Chicago
Weisenberger,Curtis,25-29,USA,4072,83,02:30:17,9017.0,2014,M,Chicago
Caprario,Nicholas,25-29,USA,1800,84,02:30:21,9021.0,2014,M,Chicago
Akita,James,30-34,USA,361,85,02:30:36,9036.0,2014,M,Chicago
Braithwaite,Matthew,25-29,USA,320,86,02:30:41,9041.0,2014,M,Chicago
Paris,Hunter,30-34,USA,324,87,02:30:50,9050.0,2014,M,Chicago
You,Peiquan,25-29,CHN,370,88,02:30:55,9055.0,2014,M,Chicago
Prom,William,25-29,USA,349,89,02:31:12,9072.0,2014,M,Chicago
Henry,Justin,30-34,USA,307,90,02:31:18,9078.0,2014,M,Chicago
Benton,Jacob,20-24,USA,358,91,02:31:25,9085.0,2014,M,Chicago
Pinter,Daniel,25-29,USA,100,92,02:31:28,9088.0,2014,M,Chicago
Oliver,Kevin,20-24,USA,4011,93,02:31:55,9115.0,2014,M,Chicago
Roth,Mike,25-29,USA,387,94,02:31:57,9117.0,2014,M,Chicago
Chorney,Matthew,25-29,USA,351,95,02:31:58,9118.0,2014,M,Chicago
Troester,Nathan,20-24,USA,278,96,02:31:59,9119.0,2014,M,Chicago
Denny,Brian,25-29,USA,87,97,02:32:06,9126.0,2014,M,Chicago
Tarneja,Ankur,30-34,USA,86,98,02:32:11,9131.0,2014,M,Chicago
Soprano,Steve,25-29,USA,495,99,02:32:12,9132.0,2014,M,Chicago
Parks,Jason,30-34,USA,312,100,02:32:13,9133.0,2014,M,Chicago
Santucci,Clara,25-29,USA,108,101,02:32:21,9141.0,2014,M,Chicago
Bareikis,Arturs,25-29,LAT,61,102,02:32:42,9162.0,2014,F,Chicago
Crouch,Sarah,25-29,USA,116,103,02:32:44,9164.0,2014,M,Chicago
Montenegro,Lionel,25-29,USA,319,104,02:33:05,9185.0,2014,F,Chicago
Derks,Andy,30-34,USA,79,105,02:33:06,9186.0,2014,M,Chicago
Mascote,Yonatan,25-29,USA,2554,106,02:33:12,9192.0,2014,M,Chicago
Ramirez,Pablo,20-24,USA,346,107,02:33:13,9193.0,2014,M,Chicago
Macdonough,Kenneth,25-29,USA,384,108,02:33:15,9195.0,2014,M,Chicago
Yesharim,Moshe,25-29,ISL,283,109,02:33:20,9200.0,2014,M,Chicago
Rubio,Gilles,30-34,FRA,366,110,02:33:29,9209.0,2014,M,Chicago
Goldsmith,Jon,30-34,USA,1171,111,02:33:36,9216.0,2014,M,Chicago
Kittaka,Daniel,25-29,USA,64,112,02:33:41,9221.0,2014,M,Chicago
White,Corey,30-34,USA,1464,113,02:34:00,9240.0,2014,M,Chicago
Lawrence,Peter,40-44,USA,393,114,02:34:05,9245.0,2014,M,Chicago
Moratilla,Roberto,35-39,ESP,330,115,02:34:05,9245.0,2014,M,Chicago
Burka,Gelete,25-29,ETH,127,116,02:34:17,9257.0,2014,F,Chicago
White,Melissa,30-34,USA,111,117,02:34:19,9259.0,2014,F,Chicago
Nelson,Geoff,25-29,USA,303,118,02:34:35,9275.0,2014,M,Chicago
Jimison,Lauren,20-24,USA,114,119,02:34:38,9278.0,2014,F,Chicago
Kariolis,Vasilis,25-29,USA,338,120,02:34:38,9278.0,2014,M,Chicago
Synan,Nicholas,20-24,USA,2292,121,02:34:42,9282.0,2014,M,Chicago
