Unnamed: 0,LastName,FirstName,Division,Country,BIB,OverallPlace,Time,Seconds,Year,Gender
0,Cherono,Lawrence,30-34,KEN,2,1,2:07:57,7677.0,2019,M
1,Desisa,Lelisa,25-29,ETH,6,2,2:07:59,7679.0,2019,M
2,Kipkemoi,Kenneth,30-34,KEN,7,3,2:08:07,7687.0,2019,M
3,Kandie,Felix,30-34,KEN,8,4,2:08:54,7734.0,2019,M
4,Kirui,Geoffrey,25-29,KEN,11,5,2:08:55,7735.0,2019,M
5,Rono,Philemon,25-29,KEN,12,6,2:08:57,7737.0,2019,M
6,Fauble,Scott,25-29,USA,28,7,2:09:09,7749.0,2019,M
7,Ward,Jared,30-34,USA,24,8,2:09:25,7765.0,2019,M
8,Talam,Festus,20-24,KEN,10,9,2:09:25,7765.0,2019,M
9,Kipruto,Benson,25-29,KEN,15,10,2:09:53,7793.0,2019,M
10,Kibet,Elkanah,35-39,USA,25,11,2:11:51,7911.0,2019,M
11,Inoue,Hiroto,25-29,JPN,14,12,2:11:53,7913.0,2019,M
12,Maiyo,Augustus,35-39,USA,36,13,2:12:40,7960.0,2019,M
13,Mesfun Teklebrhan,Daniel,30-34,USA,30,14,2:13:05,7985.0,2019,M
14,Biwott,Shadrack,30-34,USA,27,15,2:13:11,7991.0,2019,M
15,El Aaraby,Mohamed Reda,25-29,MAR,20,16,2:13:46,8026.0,2019,M
16,Kawauchi,Yuki,30-34,JPN,1,17,2:15:29,8129.0,2019,M
17,Sonoda,Hayato,30-34,JPN,21,18,2:15:58,8158.0,2019,M
18,Ritzenhein,Dathan,35-39,USA,17,19,2:16:19,8179.0,2019,M
19,Gregg,Brendan,25-29,USA,31,20,2:16:46,8206.0,2019,M
20,Mcdonald,Matthew,25-29,USA,32,21,2:16:58,8218.0,2019,M
21,Nadler,Enoch,30-34,USA,43,22,2:17:06,8226.0,2019,M
22,Overall,Scott,35-39,USA,23,23,2:17:37,8257.0,2019,M
23,Kizu,Masao,25-29,JPN,54,24,2:17:43,8263.0,2019,M
24,Payne,Ben,35-39,USA,50,25,2:18:01,8281.0,2019,M
25,Vangampleare,Stephen,25-29,USA,143,26,2:18:40,8320.0,2019,M
26,Abdirahman,Abdi,40-44,USA,19,27,2:18:56,8336.0,2019,M
27,Kai,Hiroki,20-24,JPN,46,28,2:19:31,8371.0,2019,M
28,Cook,Riley,35-39,USA,38,29,2:20:23,8423.0,2019,M
29,Kipyego,Christopher,40-44,MEX,77,30,2:20:51,8451.0,2019,M
30,Kasaye,Sisay Lemma,25-29,ETH,3,31,2:22:08,8528.0,2019,M
31,Phillips,Jonathan,25-29,USA,44,32,2:22:51,8571.0,2019,M
32,Puzey,Thomas,30-34,USA,58,33,2:23:06,8586.0,2019,M
33,Bromka,Peter,35-39,USA,55,34,2:23:08,8588.0,2019,M
34,Vassallo,Daniel,30-34,USA,39,35,2:23:15,8595.0,2019,M
35,Degefa,Worknesh,25-29,ETH,F2,36,2:23:31,8611.0,2019,F
36,Curley,Michael,20-24,USA,533,37,2:24:09,8649.0,2019,M
37,Kiplagat,Edna,35-39,KEN,F4,38,2:24:13,8653.0,2019,F
38,Thompson,Christian,30-34,USA,42,39,2:24:25,8665.0,2019,M
39,Smith,Kent,25-29,USA,167,40,2:24:29,8669.0,2019,M
40,Mish,Bradley,30-34,USA,349,41,2:24:35,8675.0,2019,M
41,Messmer,Mark,25-29,USA,176,42,2:24:37,8677.0,2019,M
42,Reaves,Patrick,30-34,USA,41,43,2:24:38,8678.0,2019,M
43,Ritchie,Timothy,30-34,USA,26,44,2:24:54,8694.0,2019,M
44,Benadum,Blue,35-39,USA,156,45,2:25:00,8700.0,2019,M
45,Lillehaugen,Timothy,25-29,USA,138,46,2:25:12,8712.0,2019,M
46,Donohue,Sean,25-29,USA,170,47,2:25:15,8715.0,2019,M
47,Hasay,Jordan,25-29,USA,F7,48,2:25:20,8720.0,2019,F
48,Macandrew,Ross,25-29,USA,153,49,2:25:21,8721.0,2019,M
49,Mori,Takaki,35-39,JPN,131,50,2:25:24,8724.0,2019,M
50,Augsten,Karl,25-29,CAN,252,51,2:25:30,8730.0,2019,M
51,Assefa,Meskerem,25-29,ETH,F6,52,2:25:40,8740.0,2019,F
52,Goodfellow,Kenneth,25-29,USA,185,53,2:26:00,8760.0,2019,M
53,Braithwaite,Matthew,30-34,USA,326,54,2:26:23,8783.0,2019,M
54,Finnel,Brian,30-34,USA,113,55,2:26:26,8786.0,2019,M
55,Alkhawaldeh,Mo'Ath,30-34,USA,140,56,2:26:45,8805.0,2019,M
56,Fazioli,Samuel,25-29,USA,160,57,2:26:49,8809.0,2019,M
57,Martin,Dustin,25-29,USA,817,58,2:26:50,8810.0,2019,M
58,Cuadra,Gabe,25-29,USA,231,59,2:26:51,8811.0,2019,M
59,Given,Wilkerson,25-29,USA,35,60,2:26:53,8813.0,2019,M
60,Linden,Desiree,35-39,USA,F1,61,2:27:00,8820.0,2019,F
61,Kunkel,G Anthony,25-29,USA,828,62,2:27:03,8823.0,2019,M
62,Clevenger,Stephen,30-34,USA,171,63,2:27:15,8835.0,2019,M
63,Ndereba,Samuel,40-44,KEN,91,64,2:27:15,8835.0,2019,M
64,Herzig,Matthew,20-24,USA,49,65,2:27:17,8837.0,2019,M
