Place overall,Name,Runner no,Category,Finish time
69,"» Duncan, Nicola (IRL)",426,18-39,2:33:28
191,"» Briscoe, Julie (GBR)",374,18-39,2:39:43
197,"» Bird, Sara (GBR)",521,18-39,2:39:55
208,"» Munn, Hayley (GBR)",273,18-39,2:40:35
370,"» Fletcher, Shona (GBR)",410,18-39,2:44:59
397,"» Grima, Claire (GBR)",227,18-39,2:45:51
410,"» Konneh-Lahun, Mamie (SLE)",52584,18-39,2:46:20
429,"» Emsley, Jennifer (GBR)",497,18-39,2:46:55
452,"» Crawford, Megan (GBR)",440,18-39,2:47:21
454,"» Sharpe, Helen (GBR)",509,18-39,2:47:22
489,"» UGENA ARCICOLLAR, ELENA (ESP)",52585,40-44,2:48:18
517,"» Schaper, Marie (USA)",254,18-39,2:48:55
526,"» McIntosh, Shona (GBR)",371,18-39,2:49:09
556,"» Gaunt, Helen (GBR)",221,18-39,2:49:43
564,"» Webster, Katy (GBR)",375,18-39,2:49:48
597,"» Cumber, Sarah Louise (GBR)",234,40-44,2:50:36
611,"» Locks, Lesley (GBR)",377,18-39,2:50:47
615,"» Williams, Sarah (GBR)",288,18-39,2:50:51
622,"» Martin, Claire (GBR)",381,18-39,2:50:54
661,"» Sesto, Valeria (ARG)",205,40-44,2:51:43
664,"» Richens, Lucy (GBR)",431,18-39,2:51:46
665,"» Molinaro, Carla (GBR)",369,18-39,2:51:46
682,"» Wangoi, Josephine Njoki (ITA)",58782,18-39,2:52:06
701,"» Reeves, Clare (GBR)",434,18-39,2:52:31
785,"» Green, Nicola (GBR)",453,40-44,2:53:56
808,"» Barlow, Tracy (GBR)",544,18-39,2:54:13
815,"» Harling, Leanne (GBR)",302,18-39,2:54:17
838,"» Crowe, Emma (GBR)",250,40-44,2:54:33
856,"» Crawford, Victoria (GBR)",241,18-39,2:54:45
884,"» Levene, Bel (GBR)",348,18-39,2:55:06
923,"» Barling, Jessica (GBR)",158,18-39,2:55:32
939,"» Morgan, Katherine (NZL)",512,18-39,2:55:45
949,"» Clarke-janssen, Anna (GBR)",27759,18-39,2:55:52
951,"» Jacobsen, Ulla Binderup (DEN)",57907,45-49,2:55:55
964,"» Harris, Carly Ann (GBR)",19973,18-39,2:56:12
969,"» Pelchat, Marianne (CAN)",26625,18-39,2:56:14
989,"» Jones, Katie (GBR)",258,18-39,2:56:33
991,"» Webber, Wendy (GBR)",32921,18-39,2:56:34
998,"» Green, Tori (GBR)",532,18-39,2:56:37
1025,"» Heslop, Maria (GBR)",458,45-49,2:56:57
1059,"» Waddell, Suni (GBR)",539,18-39,2:57:25
1095,"» Johnson, Treena (GBR)",294,50-54,2:57:49
1117,"» Junnila, Elina (FIN)",56819,18-39,2:57:58
1122,"» Day, Claire (GBR)",436,18-39,2:58:01
1135,"» Hill, Sarah (GBR)",244,40-44,2:58:06
1139,"» Ponder, Rosamund (GBR)",313,18-39,2:58:08
1148,"» Singer, Jo (GBR)",491,40-44,2:58:13
1156,"» Pemberton, Sarah (GBR)",462,18-39,2:58:21
1157,"» Davis, Eleanor (GBR)",29892,18-39,2:58:21
1158,"» Charlton, Catherine Margaret (GBR)",151,18-39,2:58:22
1182,"» Macgregor, Laura (GBR)",28206,18-39,2:58:30
1183,"» Holt, Toni (GBR)",350,18-39,2:58:30
1196,"» Kelly, Samantha (GBR)",357,45-49,2:58:35
1209,"» Clements, Amy (GBR)",486,18-39,2:58:38
1212,"» Steer, Deborah (GBR)",347,50-54,2:58:40
1217,"» Blizzard, Louise (GBR)",430,18-39,2:58:42
1220,"» Prosser, Clare (GBR)",502,40-44,2:58:46
1237,"» Rutter, Tamsyn Clare (GBR)",184,18-39,2:58:55
1239,"» Burke, Anthony (GBR)",31548,40-44,2:58:55
1255,"» James, Leigh (GBR)",525,18-39,2:59:00
1258,"» Chant, Ian (GBR)",31752,40-44,2:59:01
1264,"» Brockbank, Nikki (GBR)",307,18-39,2:59:03
1283,"» Glover, James Richard (GBR)",26529,40-44,2:59:11
1302,"» Yetton, Ami (GBR)",373,18-39,2:59:21
1350,"» Mcewing, Alison (GBR)",455,18-39,2:59:39
1351,"» Mason, Debra (GBR)",41944,45-49,2:59:40
1354,"» Ault, Emily (GBR)",320,18-39,2:59:42
1356,"» Galea Holmes, Melissa (CAN)",528,18-39,2:59:42
1378,"» Swingler, Val (GBR)",473,45-49,2:59:54
1395,"» Lowery, Sarah (GBR)",283,18-39,3:00:01
1398,"» Wynn, Elizabeth (GBR)",262,18-39,3:00:02
1423,"» Meeten, Kirstie (GBR)",504,18-39,3:00:19
1457,"» Spalton, Mary Grace (USA)",287,18-39,3:00:44
1458,"» Oldroyd, Hannah (GBR)",334,18-39,3:00:45
1462,"» Rushton, Karen (GBR)",441,45-49,3:00:47
1471,"» Drake, Giedre (LTU)",404,18-39,3:00:51
1479,"» Gelder, Emily (GBR)",413,18-39,3:00:59
1484,"» Ward, Katy (GBR)",308,18-39,3:01:02
1485,"» Lewis, Rebecca (GBR)",32697,18-39,3:01:03
1488,"» Spence, Laura (GBR)",44409,18-39,3:01:09
1547,"» Morrall, Zelah (GBR)",289,45-49,3:01:50
1559,"» Jesson, Maree (GBR)",239,40-44,3:01:56
1563,"» Morwood, Sarah (GBR)",432,18-39,3:02:00
1564,"» Mullins, Sophie (GBR)",459,18-39,3:02:03
1574,"» Gordon, Jillian (GBR)",261,18-39,3:02:11
