Place overall,Name,Runner no,Category,Finish time
1,"» Way, Steven (GBR)",943,18-39,2:16:27
2,"» Gilbert, John (GBR)",851,18-39,2:16:46
3,"» Pepper, Jon (GBR)",1043,18-39,2:19:59
4,"» Kay, Richard (GBR)",1076,18-39,2:20:54
5,"» Rojas, Kevin (GBR)",1037,18-39,2:22:56
6,"» Poole, Jonathan (GBR)",798,18-39,2:22:58
7,"» McWhirter, Blair (NZL)",860,18-39,2:23:27
8,"» Martelletti, Paul (GBR)",912,18-39,2:23:36
9,"» Natali, Paolo (GBR)",880,18-39,2:23:57
10,"» Gierjatowicz, Patryk (GBR)",1059,18-39,2:24:27
11,"» Renault, Neil (GBR)",1113,18-39,2:24:33
12,"» Scott, Richard (GBR)",965,18-39,2:24:46
13,"» Milne, Alex (GBR)",1017,18-39,2:25:14
14,"» Keal, Rob (GBR)",1049,18-39,2:25:50
15,"» Hoad, James (GBR)",917,18-39,2:26:17
16,"» Vaughan, Alun (GBR)",887,18-39,2:26:30
17,"» Shearer, Ben (GBR)",961,18-39,2:26:52
18,"» Fellows, Donovan (USA)",1029,18-39,2:26:54
19,"» Collins, Matthew (GBR)",885,18-39,2:27:01
20,"» Vermeesch, Pieter (BEL)",896,18-39,2:27:07
21,"» Pollard, Mark (GBR)",869,18-39,2:27:08
22,"» KJALL - OHLSSON, MARTIN (NOR)",57850,18-39,2:27:37
23,"» Cryer, Martyn (GBR)",915,18-39,2:27:39
24,"» Cieluszecki, Jacek (GBR)",935,18-39,2:27:45
25,"» Douglas, Andrew (GBR)",881,18-39,2:27:48
26,"» Matthews, Phillip (GBR)",683,18-39,2:27:54
27,"» Pope, Robert (GBR)",893,18-39,2:27:57
28,"» Greenwood, Christopher (GBR)",913,40-44,2:27:59
29,"» Spencer, Stuart (GBR)",755,18-39,2:28:01
30,"» Mclellan, Kyle (GBR)",984,18-39,2:28:14
31,"» Jenkins, Tom (GBR)",907,18-39,2:28:18
32,"» Morgan, Dave (GBR)",1161,18-39,2:28:24
33,"» Lowe, Gareth (GBR)",812,40-44,2:28:34
34,"» Humphrey, Sam (GBR)",1013,18-39,2:28:48
35,"» Stevens, Thomas (GBR)",721,18-39,2:28:54
36,"» Moore, Colm (IRL)",57418,18-39,2:29:22
37,"» Jones, Lee (GBR)",736,40-44,2:29:30
38,"» Turnbull, David (GBR)",1088,18-39,2:29:41
39,"» Mqambeli, Siyabulela Siya (RSA)",27377,18-39,2:29:57
40,"» Dettmar, Christopher (GBR)",973,40-44,2:29:58
41,"» Rouse, Adam (GBR)",703,40-44,2:30:20
42,"» Breen, Graham (GBR)",730,18-39,2:31:20
43,"» Douglas, Ben (GBR)",919,18-39,2:31:23
44,"» Boniface, Neil (GBR)",627,18-39,2:31:26
45,"» Saillard, Nicolas (GBR)",983,18-39,2:31:32
46,"» Polini, Josselin (FRA)",31273,18-39,2:31:35
47,"» Kowenicki, Richard (GBR)",612,18-39,2:31:39
48,"» RISA, SVEIN OVE (NOR)",57794,40-44,2:31:42
49,"» Evangelidis, Dimosthenis (GRE)",976,18-39,2:31:54
50,"» Newton, Mark (GBR)",753,18-39,2:32:02
51,"» O Shea, Alan (IRL)",1138,18-39,2:32:02
52,"» Griffiths, Paul (GBR)",635,40-44,2:32:04
53,"» Challenger, Andrew (GBR)",929,18-39,2:32:12
54,"» Rendall, Julian (GBR)",752,18-39,2:32:19
55,"» Burden, Phil (GBR)",789,18-39,2:32:29
56,"» Mason, James (GBR)",827,18-39,2:32:29
57,"» Madar, Abdi (GBR)",888,18-39,2:32:30
58,"» Wilson, Chris (GBR)",1021,18-39,2:32:35
59,"» Wilson, Robert (GBR)",1108,18-39,2:32:44
60,"» Steel, Daniel (GBR)",31593,18-39,2:32:46
61,"» Kargbo, Idrissa (SLE)",52583,18-39,2:32:52
62,"» Petitjean, Damien (FRA)",1153,18-39,2:32:56
63,"» Rodgers, Paul (GBR)",944,18-39,2:32:57
64,"» Laws, Olly (GBR)",870,18-39,2:33:08
65,"» Affleck, Robert (GBR)",1023,40-44,2:33:16
66,"» Meade, Richard (GBR)",1034,18-39,2:33:24
67,"» Renou, Ludovic (FRA)",1095,18-39,2:33:25
68,"» Jackson, Anthony (GBR)",905,18-39,2:33:27
70,"» Reynolds, Ben (GBR)",952,50-54,2:33:53
71,"» Meacock, David (GBR)",650,18-39,2:33:54
72,"» Burn, Andy (GBR)",1011,18-39,2:34:00
73,"» Beattie, Ben (GBR)",631,18-39,2:34:01
74,"» Dziewinski, Damian (POL)",769,18-39,2:34:04
75,"» Gibbins, Alex (GBR)",999,18-39,2:34:13
76,"» Thompson, Peter (GBR)",861,18-39,2:34:16
77,"» Newman, Zac (AUS)",33098,18-39,2:34:25
78,"» Connell, David (GBR)",1136,18-39,2:34:30
79,"» Robinson, Daniel (GBR)",729,18-39,2:34:31
80,"» Reason, Robert (GBR)",1147,18-39,2:34:32
81,"» Carter, Tim (GBR)",806,18-39,2:34:47
82,"» Mcmullan, James (GBR)",876,18-39,2:34:49
83,"» Leveson, Andrew (GBR)",895,18-39,2:34:55
84,"» Lennox, Gordon (GBR)",747,18-39,2:34:55
85,"» Oliveira, Jorge Rafael (POR)",31956,18-39,2:34:58
86,"» Clark, Anthony (GBR)",848,18-39,2:34:59
87,"» Fitzpatrick, David (IRL)",968,18-39,2:35:03
88,"» Thursby-Pelham, Brian (GBR)",24775,40-44,2:35:03
89,"» Dunajko, Adam (GBR)",830,18-39,2:35:08
90,"» Langley, Jamie (GBR)",788,18-39,2:35:09
91,"» Fernandez, Paul (GBR)",801,40-44,2:35:18
92,"» Speck, Dennis (GBR)",1100,18-39,2:35:23
93,"» Grant, Daniel (GBR)",32127,18-39,2:35:27
94,"» Scott, Roy (GBR)",1168,18-39,2:35:28
95,"» Green, Ben (GBR)",942,18-39,2:35:30
96,"» Amouroux, Nicolas (FRA)",1120,18-39,2:35:31
97,"» Oboyle, Daniel (GBR)",977,18-39,2:35:32
98,"» Rackham, Nigel (GBR)",1048,50-54,2:35:33
99,"» Wilkins, Mark (GBR)",605,18-39,2:35:34
100,"» Wallis, Patrick (GBR)",833,18-39,2:35:42
101,"» Barwood, Martin J (GBR)",890,18-39,2:35:47
