Place overall,Name,Runner no,Category,FINISH
203,"» Radcliffe, Paula (GBR)",25371,40-44,2:36:55
220,"» Connolly, Breege (GBR)",417,18-39,2:37:24
225,"» Spink, Jenny (GBR)",379,18-39,2:37:35
290,"» Barlow, Tracy (GBR)",217,18-39,2:39:56
294,"» McIntosh, Shona (GBR)",441,18-39,2:40:06
298,"» Crawford, Megan (GBR)",471,18-39,2:40:17
327,"» Muir, Tina (GBR)",367,18-39,2:41:10
376,"» Davis, Eleanor (GBR)",447,18-39,2:42:29
378,"» Van Reijen, Miriam (NED)",549,18-39,2:42:36
395,"» Clements, Amy (GBR)",305,18-39,2:43:02
398,"» Gyurko, Fanni (HUN)",335,18-39,2:43:09
431,"» Webster, Katy (GBR)",511,18-39,2:43:49
468,"» Davis, Julia (GBR)",359,18-39,2:44:32
479,"» Grima, Claire (GBR)",477,18-39,2:44:39
499,"» Knight, Victoria (GBR)",429,18-39,2:44:58
624,"» Morrall, Zelah (GBR)",478,45-49,2:47:46
635,"» Sharpe, Helen (GBR)",515,18-39,2:47:59
640,"» Bertasso, Karen (USA)",332,18-39,2:48:05
650,"» Carter, Sophie (GBR)",388,18-39,2:48:15
684,"» Nolan, Michelle (GBR)",212,18-39,2:48:52
693,"» Crowe, Emma (GBR)",476,40-44,2:48:56
695,"» Lauder, Dianne (GBR)",285,18-39,2:48:59
720,"» Sesto, Valeria (GBR)",224,40-44,2:49:19
746,"» Belyavin, Julia (GBR)",225,18-39,2:49:39
761,"» Evans, Jane (GBR)",273,18-39,2:49:48
794,"» Oldroyd, Hannah (GBR)",425,18-39,2:50:07
812,"» Green, Tori (GBR)",424,18-39,2:50:22
901,"» Bugler, Eve (GBR)",541,18-39,2:51:41
915,"» Oliver-Bell, Jessica (GBR)",311,18-39,2:51:54
945,"» Jones, Katie (GBR)",199,18-39,2:52:18
947,"» Moore, Diane (GBR)",357,40-44,2:52:19
949,"» Davis, Emma (GBR)",12861,18-39,2:52:20
965,"» Grant, Sophie (NZL)",354,18-39,2:52:38
976,"» Mcewing, Alison (GBR)",267,18-39,2:52:48
993,"» Cowley, Laura (GBR)",330,18-39,2:52:56
1034,"» Mason, Avril (GBR)",474,40-44,2:53:25
1054,"» Sieling, Gillian Lynn (RSA)",58394,45-49,2:53:38
1069,"» Stibbs, Cath (GBR)",254,40-44,2:53:56
1073,"» Ponder, Rosamund (GBR)",293,40-44,2:53:59
1105,"» Smith, Nikki (GBR)",174,18-39,2:54:27
1113,"» Drynan, Allison (CAN)",505,18-39,2:54:32
1174,"» Waugh, Helen (GBR)",29530,18-39,2:55:01
1207,"» Elms, Clare (GBR)",498,50-54,2:55:18
1231,"» dargie, alison (GBR)",395,40-44,2:55:32
1236,"» Cornforth, Carolyn Jane (GBR)",16941,45-49,2:55:35
1245,"» Mccartney, Tracy (GBR)",365,18-39,2:55:39
1253,"» Seager, Tanya (GBR)",27327,40-44,2:55:45
1261,"» Vaverka, Lukas (GBR)",30262,18-39,2:55:49
1297,"» Niehaus, Kate (USA)",239,18-39,2:56:17
1308,"» Mcmanus, Shona Marie (GBR)",324,18-39,2:56:23
1329,"» Gascoigne-Owens, Johanna (GBR)",492,18-39,2:56:37
1410,"» Bunting, Rebecca (GBR)",402,18-39,2:57:16
1423,"» Eastman, Lyndsey (GBR)",419,18-39,2:57:22
1437,"» Maycock, Fiona (GBR)",358,45-49,2:57:28
1447,"» Lowery, Sarah (GBR)",222,18-39,2:57:30
1450,"» Banks, Andrea (GBR)",233,40-44,2:57:31
1469,"» Wynn, Elizabeth (GBR)",503,18-39,2:57:37
1473,"» Pearson, Hattie (GBR)",5074,18-39,2:57:38
1474,"» Borland, Karla (GBR)",246,18-39,2:57:38
1512,"» Fowler, Eleanor (GBR)",230,18-39,2:57:56
1530,"» Jones, Nerys (GBR)",458,18-39,2:58:03
1535,"» Mullins, Sophie (GBR)",290,18-39,2:58:07
1559,"» Drake, Giedre (GBR)",276,18-39,2:58:17
1562,"» Kent, Joanne (GBR)",356,45-49,2:58:18
1585,"» Nelson, Joanne (GBR)",296,40-44,2:58:25
1621,"» Piggott, Rebecca (GBR)",464,18-39,2:58:37
1642,"» Mair, Angharad (GBR)",279,50-54,2:58:44
1648,"» Curley, Anne (IRL)",156,40-44,2:58:46
1652,"» Flanagan, Naomi (GBR)",321,18-39,2:58:47
1664,"» Mayles, Rebecca (GBR)",205,18-39,2:58:51
1667,"» Gill, Susannah (GBR)",26719,18-39,2:58:51
1680,"» Robinson, Rachel (GBR)",392,18-39,2:58:54
1686,"» Roberts, Wendy (GBR)",232,40-44,2:58:55
1687,"» Jeremiah, Catherine (AUS)",405,18-39,2:58:55
1716,"» Rushton, Karen (GBR)",381,45-49,2:59:04
1722,"» snare, frankie (GBR)",26865,18-39,2:59:06
1724,"» Rabie, Sandi (GBR)",333,18-39,2:59:06
1725,"» Leck, Angela (GBR)",309,18-39,2:59:06
1728,"» Howells, Louise (GBR)",466,18-39,2:59:08
1746,"» Woolfe, Ruby Saide (GBR)",47622,18-39,2:59:12
1750,"» Barnes, Elisabet (SWE)",280,18-39,2:59:13
1781,"» FALLAIZE, Jay (GBR)",23641,18-39,2:59:22
1805,"» Manning, Hayley (GBR)",26811,18-39,2:59:29
1815,"» Yetton, Ami (GBR)",435,18-39,2:59:32
1820,"» Evans, Megan (GBR)",256,18-39,2:59:34
1845,"» Simmons, Georgiana (GBR)",228,18-39,2:59:43
1855,"» Mort, Helen (GBR)",410,18-39,2:59:46
1857,"» Thomas, Sian (GBR)",384,18-39,2:59:47
1871,"» Cliff, Jill (GBR)",416,45-49,2:59:50
1880,"» Gruber, Sarah (GBR)",270,40-44,2:59:54
1917,"» Baxter, Marie (GBR)",525,40-44,3:00:24
1919,"» Blizzard, Louise (GBR)",343,18-39,3:00:24
1922,"» Gordon, Jillian (GBR)",223,18-39,3:00:29
1938,"» Wallington, Helen (GBR)",326,45-49,3:00:36
1946,"» Brockbank, Nikki (GBR)",247,18-39,3:00:39
1963,"» Wilson-young, Jessica (GBR)",198,40-44,3:00:50
1972,"» Farrell, Gemma (GBR)",377,18-39,3:00:54
1976,"» Matson, Robyn (GBR)",520,18-39,3:00:58
1984,"» Winters, Hayley (GBR)",339,18-39,3:01:03
1987,"» Keavney, Jacqueline (GBR)",383,45-49,3:01:05
