Place overall,Name,Runner no,Category,FINISH
1,"» Kimpton, Ian (GBR)",1147,18-39,2:15:51
2,"» Gilbert, John (GBR)",910,18-39,2:18:12
3,"» Scott, Aaron (GBR)",1252,18-39,2:20:45
4,"» Molyneux, Paul (GBR)",939,18-39,2:21:23
5,"» Spencer, Stuart (GBR)",841,18-39,2:21:25
6,"» Lambert, Toby frank (GBR)",1261,18-39,2:21:27
7,"» Renault, Neil (GBR)",1102,18-39,2:21:41
8,"» Greenleaf, Andy (GBR)",1006,18-39,2:21:41
9,"» Cherriman, Jason (GBR)",884,18-39,2:22:12
10,"» Morgan, Dave (GBR)",786,18-39,2:22:54
11,"» Townsend, Joe (GBR)",1258,18-39,2:23:07
12,"» Stone, Kairn (GBR)",1136,18-39,2:23:32
13,"» Tucker, Peter (GBR)",919,18-39,2:24:00
14,"» Roberts, Greg (GBR)",948,18-39,2:24:00
15,"» Raven, Gareth (GBR)",1230,40-44,2:24:03
16,"» Poole, Jonathan (GBR)",993,18-39,2:24:10
17,"» Gamble, Ben (GBR)",1235,18-39,2:24:17
18,"» Gierjatowicz, Patryk (GBR)",1052,18-39,2:24:21
19,"» Venturoli, Nicola (ITA)",58634,18-39,2:24:25
20,"» Phillips, Richard (GBR)",858,18-39,2:24:31
21,"» Whittaker, Paul (GBR)",952,18-39,2:24:39
22,"» Williams, Ian (GBR)",1152,18-39,2:24:49
23,"» Cryer, Martyn (GBR)",1094,18-39,2:25:15
24,"» Jenkin, Mark (GBR)",1225,18-39,2:25:18
25,"» Gilby, Johnny (GBR)",1149,18-39,2:25:43
26,"» Keal, Robert (GBR)",1095,40-44,2:25:44
27,"» Quinn, Kevin (GBR)",1074,18-39,2:25:57
28,"» Underwood, Steven (USA)",888,18-39,2:26:23
29,"» Mackay, Will (GBR)",1193,18-39,2:26:34
30,"» Franklin, John (GBR)",1122,18-39,2:26:40
31,"» Cole, Ben (GBR)",966,18-39,2:27:16
32,"» Collins, Matthew (GBR)",1085,18-39,2:27:24
33,"» Siggers, Andrew (GBR)",1153,18-39,2:27:36
34,"» Leaney, Stuart (GBR)",907,18-39,2:27:44
35,"» Adams, Paul (GBR)",1141,18-39,2:27:46
36,"» Quinn, Iain (GBR)",751,18-39,2:27:48
37,"» Leveson, Andrew (GBR)",722,18-39,2:27:59
38,"» Eissa, Hassan (GBR)",866,18-39,2:28:01
39,"» Wright, Michael (GBR)",1099,18-39,2:28:28
40,"» Adcock, Matt (GBR)",920,18-39,2:28:33
41,"» Davies, Daniel (GBR)",1118,18-39,2:28:50
42,"» Deakin, Simon (GBR)",23765,18-39,2:28:57
43,"» Anderson, Moray (GBR)",23085,18-39,2:29:02
44,"» Lawrence, Andrew (GBR)",891,18-39,2:29:08
45,"» Matthews, Martin (GBR)",951,18-39,2:29:19
46,"» McKenna, Jarlath (GBR)",748,18-39,2:29:19
47,"» Hunt, Andrew (GBR)",23813,40-44,2:29:20
48,"» Jordan, Chris (GBR)",894,18-39,2:29:20
49,"» Rouse, Adam (GBR)",935,40-44,2:29:21
50,"» Connell, David (GBR)",955,40-44,2:29:39
51,"» Meacock, David (GBR)",761,18-39,2:29:43
52,"» Doe, Thomas (GBR)",1090,18-39,2:29:48
53,"» Kobberoe, Bjarke (DEN)",746,18-39,2:29:52
54,"» Burden, Phil (GBR)",916,18-39,2:29:54
55,"» Dziewinski, Damian (POL)",29714,18-39,2:29:55
56,"» Martelletti, Paul (GBR)",1213,18-39,2:29:57
57,"» Lacy, Dean (GBR)",1217,18-39,2:30:04
58,"» Jenkin, Daniel (GBR)",698,18-39,2:30:04
59,"» Clark, Anthony (GBR)",762,18-39,2:30:06
60,"» Steel, Daniel (GBR)",893,18-39,2:30:06
61,"» Davies, Hywel (GBR)",29715,40-44,2:30:07
62,"» green, ben (GBR)",1133,18-39,2:30:16
63,"» Hazell, Scott (GBR)",736,18-39,2:30:23
