Place overall,Name,Runner no,Category,Finish
201,"» Boniface, Anna (GBR)",666,18-39,2:37:07
287,"» Clements, Amy (GBR)",823,18-39,2:39:11
298,"» Davis, Julia (GBR)",715,18-39,2:39:27
339,"» Edwards, Rosie (GBR)",843,18-39,2:40:49
363,"» Gyurko, Fanni (HUN)",640,18-39,2:41:20
425,"» White, Katie (GBR)",620,18-39,2:42:37
439,"» Bickford, Taylor (USA)",780,18-39,2:42:52
461,"» Grima, Claire (GBR)",775,18-39,2:43:20
511,"» Rankin, Gemma (GBR)",777,18-39,2:44:24
600,"» Evans, Clara (GBR)",660,18-39,2:46:03
676,"» Nolan, Michelle (GBR)",468,18-39,2:47:48
686,"» Mcintosh, Shona (GBR)",768,18-39,2:47:52
768,"» Wellington, Chrissie (GBR)",925,40-44,2:49:01
816,"» Millmore, Tracy (GBR)",460,18-39,2:49:40
826,"» Lagomarsino, Emily (GBR)",498,18-39,2:49:49
879,"» Squires, Nicola (GBR)",470,18-39,2:50:36
895,"» Harvey, Joanne (GBR)",702,18-39,2:50:46
899,"» LI, JI (CHN)",63056,18-39,2:50:49
911,"» Menon, Mary (GBR)",700,18-39,2:51:02
937,"» Deering, Jill (USA)",58420,18-39,2:51:28
938,"» Le Frak, Caroline (USA)",811,18-39,2:51:28
981,"» Jarvis, Hannah (GBR)",675,18-39,2:52:00
1043,"» Mccandless, Joanne (GBR)",27593,18-39,2:52:55
1094,"» Trimble, Laura (GBR)",530,18-39,2:53:26
1134,"» Webber, Wendy (GBR)",794,18-39,2:53:48
1136,"» Mitchell, Naomi (GBR)",646,18-39,2:53:48
1141,"» Brian, Fiona (GBR)",492,18-39,2:53:50
1152,"» Wright, Vicky (GBR)",521,18-39,2:53:56
1221,"» Ashe, Lucy (GBR)",618,18-39,2:54:38
1229,"» Elvin, Jennifer (IRL)",730,18-39,2:54:41
1231,"» Yanko, Devon (USA)",537,18-39,2:54:43
1240,"» Davies, Fiona (GBR)",774,40-44,2:54:48
1241,"» Mair, Angharad (GBR)",471,55-59,2:54:49
1252,"» Lavender, Alison (GBR)",414,18-39,2:54:56
1266,"» Brown, Emma Louise (GBR)",418,18-39,2:55:06
1304,"» Locks, Lesley (GBR)",875,40-44,2:55:33
1313,"» Johnson, Treena (GBR)",656,55-59,2:55:34
1309,"» kenny, victoria (GBR)",668,18-39,2:55:37
1314,"» Penfold, Rose (GBR)",645,18-39,2:55:37
1340,"» Belyavin, Julia (GBR)",631,18-39,2:55:53
1351,"» PONTES, KAMILLA (BRA)",40555,18-39,2:56:01
1380,"» RIOS MARQUES, PAULA (ITA)",62355,40-44,2:56:22
1396,"» Wyness, Hazel (GBR)",903,18-39,2:56:28
1411,"» Paull, Emma (GBR)",547,18-39,2:56:41
1427,"» Whiley, Alice (GBR)",583,18-39,2:56:49
1473,"» Hoskins, Carrie/Caroline (GBR)",837,45-49,2:57:08
1492,"» Baxter, Sarah Louise (GBR)",433,18-39,2:57:20
1550,"» Shields, Tanya (GBR)",463,18-39,2:57:47
1557,"» Wray, Zanthe (GBR)",524,18-39,2:57:49
1567,"» Turner, Elspeth (GBR)",905,50-54,2:57:52
1579,"» Gallop, Rebecca (GBR)",644,18-39,2:57:59
1582,"» Fletcher, Shona (GBR)",804,18-39,2:58:01
1586,"» Gill, Susannah (GBR)",32873,18-39,2:58:02
1616,"» Wallington, helen (GBR)",880,45-49,2:58:12
1617,"» Donges, Sophie (GBR)",745,18-39,2:58:12
1620,"» Finlay, Lisa (GBR)",785,45-49,2:58:13
1626,"» Bowness, Bryher (GBR)",806,18-39,2:58:16
1627,"» Fowler, Eleanor (GBR)",500,18-39,2:58:16
1633,"» Beever, Margaret (GBR)",741,18-39,2:58:18
1635,"» Birchall, Lynn (GBR)",555,45-49,2:58:18
1674,"» Adams, Brooke (USA)",44720,18-39,2:58:33
1698,"» Ward, Katy (GBR)",676,18-39,2:58:41
1708,"» Prideaux, Emma (GBR)",863,40-44,2:58:43
1722,"» Warner, Julie (GBR)",33497,50-54,2:58:48
1741,"» Perry, Cleo (GBR)",466,40-44,2:58:53
1766,"» Male, Joanna (GBR)",478,18-39,2:59:02
1772,"» Lake, Samantha (GBR)",575,18-39,2:59:03
1818,"» Hanna, Joanna (GBR)",30530,18-39,2:59:20
1834,"» Macdonald, Lorna Hannah (GBR)",428,18-39,2:59:24
1835,"» Jackson, Robyn (GBR)",756,18-39,2:59:24
1901,"» Dusseau, Alysia (USA)",51319,18-39,2:59:49
1902,"» Hanley, Sarah (GBR)",828,18-39,2:59:49
1907,"» Kilcourse, Elisabeth (GBR)",558,18-39,2:59:52
1953,"» Siruffo, Cecilia (ESP)",691,18-39,3:00:14
1982,"» Godwin, Dawn (GBR)",603,40-44,3:00:28
2012,"» Malone, Kirsty (GBR)",29199,18-39,3:00:43
2020,"» Latham, Jenny (GBR)",577,18-39,3:00:47
2031,"» Eastham, Helena (GBR)",852,18-39,3:00:52
2059,"» Sudol, Dawn (USA)",57733,18-39,3:01:08
2060,"» Short, Gerrie (IRL)",28331,40-44,3:01:08
2090,"» Iliffe, Samantha (GBR)",515,18-39,3:01:29
2097,"» Murphy, Joanna (GBR)",557,18-39,3:01:32
2107,"» Smith, Alice (GBR)",570,18-39,3:01:40
2117,"» Talman, Louise (GBR)",907,18-39,3:01:49
2120,"» Lowry, Judith (GBR)",707,18-39,3:01:52
2128,"» Venables, Melissa (GBR)",28415,40-44,3:01:56
2131,"» Young, Ali (GBR)",408,40-44,3:01:56
2165,"» Jacobs-Conradie, Charlene (GBR)",30840,18-39,3:02:14
2166,"» Bowerman, Nicola (GBR)",677,40-44,3:02:14
2172,"» Wallace, Laura (GBR)",607,18-39,3:02:19
2179,"» West, Camilla (GBR)",872,18-39,3:02:25
2187,"» Mcdowall, Edwina (GBR)",412,45-49,3:02:34
2205,"» Wood, Georgia (GBR)",797,18-39,3:02:42
2214,"» Saldanha, Kaitlynn (USA)",474,18-39,3:02:46
2249,"» Bell, Eilidh (GBR)",489,18-39,3:03:09
2255,"» Seager, Tanya (GBR)",569,40-44,3:03:14
2275,"» Neale, Charlotte (GBR)",893,18-39,3:03:23
2315,"» Akhmedova, Oksana (RUS)",25136,18-39,3:03:40
2317,"» Corbin, Louise (GBR)",28729,18-39,3:03:42
2322,"» Drew, Kate (GBR)",753,18-39,3:03:43
