Place overall,Name,Runner no,Category,Finish
1,"» Griffiths, Josh (GBR)",1154,18-39,2:14:49
2,"» Hehir, Sean (GBR)",1454,18-39,2:16:18
3,"» Sharp, Matt (GBR)",1825,18-39,2:17:45
4,"» Scott, Aaron (GBR)",1341,18-39,2:17:46
5,"» Thewlis, Jonathan (GBR)",23092,18-39,2:17:58
6,"» Scullion, Stephen (GBR)",1737,18-39,2:17:59
7,"» Livesey, Ben (GBR)",1577,18-39,2:19:54
8,"» Arrospide, Iraitz (ESP)",1526,18-39,2:20:56
9,"» Poole, Jonathan (GBR)",1600,18-39,2:21:31
10,"» Samuel, Rob (GBR)",1486,18-39,2:21:41
11,"» Grantham, Lee (GBR)",1136,18-39,2:21:43
12,"» Johnson, Ben (GBR)",1713,18-39,2:21:46
13,"» Payn, Thomas (GBR)",1224,18-39,2:22:19
14,"» Douglas, James (GBR)",1351,18-39,2:22:21
15,"» Ruddy, Craig (GBR)",1642,18-39,2:22:22
16,"» Bentley, Russell (GBR)",1624,18-39,2:22:37
17,"» Mcwhirter, Blair (GBR)",1597,18-39,2:22:38
18,"» Milne, Alex (GBR)",1128,18-39,2:23:17
19,"» Keal, Rob (GBR)",1735,40-44,2:23:21
20,"» Jaksevicius, Andrius (GBR)",1786,18-39,2:23:24
21,"» Gamble, Ben (GBR)",1598,18-39,2:23:37
22,"» Koenigs, Roger (BEL)",1723,18-39,2:24:03
23,"» McKenna, Jarlath (GBR)",1578,18-39,2:24:29
24,"» Gierjatowicz, Patryk (GBR)",1711,18-39,2:25:12
25,"» Shearer, Ben (GBR)",1337,40-44,2:25:14
26,"» Molyneux, Paul (GBR)",1678,18-39,2:25:39
27,"» Westlake, James (GBR)",1067,18-39,2:26:33
28,"» EL YAMANI, MOHAMMED (FRA)",61963,50-54,2:26:36
29,"» Greenwood, Christopher (GBR)",1610,40-44,2:26:41
30,"» Way, Steven (GBR)",1412,40-44,2:26:52
31,"» Trickett, Iain (GBR)",1362,18-39,2:26:52
32,"» Bowler, James (GBR)",1045,18-39,2:27:30
33,"» Payne, Tony (NZL)",1659,18-39,2:27:35
34,"» Greenleaf, Andrew (GBR)",1768,18-39,2:27:42
35,"» Turner, James (GBR)",1512,18-39,2:27:55
36,"» Watkins, Thomas (GBR)",1349,18-39,2:27:57
37,"» Gaffney, Daniel (GBR)",1788,18-39,2:28:20
38,"» Tipper, Jonathan (GBR)",1606,18-39,2:28:47
39,"» Dunham, Mark (GBR)",1670,18-39,2:28:48
40,"» Savery, Andrew (GBR)",1277,18-39,2:28:50
41,"» Mctaggart, Rob (GBR)",1582,18-39,2:28:53
42,"» Millett, Simon (GBR)",1097,18-39,2:29:03
