Overall Place,Name,BIB,Division,Time
271,"» Porter, Georgia (USA)",970,18-39,2:44:50
294,"» Oldroyd, Hannah (GBR)",619,18-39,2:46:27
297,"» Bowman, Laura (USA)",849,18-39,2:46:36
337,"» Carruthers, Hayley (GBR)",980,18-39,2:47:47
342,"» Elliott, Sarah (CAN)",596,18-39,2:47:52
371,"» Rose, Charlotte (GBR)",545,18-39,2:48:35
473,"» Vongvorachoti, Jane (GBR)",679,18-39,2:50:51
576,"» Grima, Claire (GBR)",832,40-44,2:53:13
591,"» O'Regan, Johanna (GBR)",924,18-39,2:53:26
609,"» Menon, Mary (GBR)",564,18-39,2:53:44
647,"» Schwiening, Georgina (GBR)",747,18-39,2:54:30
712,"» Ward, Stacey (GBR)",572,18-39,2:55:38
718,"» Gallop, Rebecca (GBR)",507,18-39,2:55:43
748,"» Rabie, Mari (RSA)",59142,18-39,2:56:02
784,"» Male, Joanna (GBR)",502,18-39,2:56:34
790,"» Fenn, Georgie (GBR)",698,18-39,2:56:38
810,"» Busman, Meredith (USA)",522,18-39,2:56:55
813,"» heslop, maria (GBR)",836,50-54,2:56:56
892,"» Ponder, Rosamund (GBR)",408,40-44,2:57:59
905,"» Nolan, Michelle (GBR)",492,18-39,2:58:07
914,"» Bunting, Rebecca (GBR)",651,18-39,2:58:12
977,"» Lewis, Susan (GBR)",542,40-44,2:58:50
990,"» HAO, Xiaofan (CHN)",55358,18-39,2:58:57
1010,"» Green, Tori (GBR)",731,18-39,2:59:05
1055,"» Barnes-Heeney, Dani (GBR)",796,18-39,2:59:29
1061,"» Wray, Zanthe (GBR)",599,18-39,2:59:32
1064,"» Owens, Katherine (GBR)",500,18-39,2:59:33
1083,"» Rea, Isobel (GBR)",750,40-44,2:59:46
1088,"» Evans, Clara (GBR)",754,18-39,2:59:48
1093,"» Bubb, Sophie (GBR)",605,18-39,2:59:50
1102,"» Banks, Andrea (JEY)",481,45-49,2:59:53
1104,"» NEHME, PIA (LIB)",61551,18-39,2:59:54
1106,"» Baryga, Sarah (GBR)",26225,40-44,2:59:55
1114,"» Hinton, Josie (GBR)",625,18-39,3:00:00
1123,"» Byrne, Annie (GBR)",547,18-39,3:00:06
1125,"» Wright, Vicky (GBR)",474,40-44,3:00:07
1159,"» Jackson, Debbie (GBR)",936,45-49,3:00:33
1161,"» Knuchel, Kathrin (SUI)",61446,18-39,3:00:34
1162,"» Sweatt, Rachel (GBR)",737,18-39,3:00:34
1166,"» Hallside, Katy (GBR)",691,40-44,3:00:37
1193,"» Buchanan, Catriona (GBR)",800,18-39,3:01:00
1200,"» Turner, Elspeth (GBR)",657,50-54,3:01:02
1210,"» Mitchell, Naomi (GBR)",632,18-39,3:01:09
1219,"» McCandless, Joanne (GBR)",33244,18-39,3:01:15
1223,"» Thompson, Liberty (GBR)",958,18-39,3:01:19
1275,"» Thomas, Rachel (GBR)",887,18-39,3:02:13
1286,"» Winstone, Sarah (GBR)",748,18-39,3:02:20
1287,"» Matthews, Katherine (GBR)",826,40-44,3:02:21
1288,"» Wightman, Sarah (GBR)",729,40-44,3:02:24
1291,"» Cumber, Sarah Louise (GBR)",440,45-49,3:02:27
1294,"» Towerton, Kate (GBR)",888,18-39,3:02:28
1330,"» Williams, Amie (GBR)",896,18-39,3:02:56
1341,"» Bohane, Betty (GBR)",930,18-39,3:03:08
1348,"» Xavier, Naiara-Faria (BRA)",59520,40-44,3:03:16
1368,"» Sneddon, Alexandra (GBR)",844,18-39,3:03:36
1374,"» Neale, Charlotte (GBR)",540,18-39,3:03:41
1400,"» Winter, Rebecca (GBR)",559,18-39,3:04:04
1414,"» Rees, Clare (GBR)",603,18-39,3:04:11
1418,"» Rios    , Maria (ARG)",55252,18-39,3:04:14
1427,"» Harvey, Rose (GBR)",473,18-39,3:04:24
1442,"» Davies, Rachel (GBR)",951,18-39,3:04:36
1465,"» Schon, Karin (SWE)",60388,55-59,3:04:51
1467,"» Evans, SIAN (GBR)",793,18-39,3:04:53
1468,"» Custance, Lucie (GBR)",642,18-39,3:04:54
1481,"» Trana, Gabriela (GBR)",982,18-39,3:05:04
1495,"» Tyler, Catrin (GBR)",941,18-39,3:05:17
1497,"» Paull, Emma (GBR)",724,18-39,3:05:18
1533,"» Rooney, Lisa (GBR)",453,18-39,3:05:47
1537,"» Prideaux, Emma (GBR)",906,40-44,3:05:51
1551,"» Godwin, Dawn (GBR)",768,45-49,3:06:00
1587,"» Wood, Katherine (GBR)",27542,18-39,3:06:23
1591,"» Mclennan, Zoe (GBR)",495,18-39,3:06:25
1595,"» Parry-Williams, Jess (GBR)",782,18-39,3:06:28
1599,"» Randles, Sarah (GBR)",635,18-39,3:06:29
1602,"» Teece, natalie (GBR)",609,18-39,3:06:30
1610,"» hill, Sarah (GBR)",704,45-49,3:06:37
1626,"» Gibson, Melissah (GBR)",798,18-39,3:06:49
1633,"» Alcaraz, Toni (GBR)",703,40-44,3:06:54
1634,"» Clegg, Lindsey (GBR)",683,18-39,3:06:55
1641,"» Callanan, Collette (GBR)",443,50-54,3:07:00
1682,"» Stretton, Jackie (GBR)",933,18-39,3:07:31
1689,"» wood, rachel (GBR)",811,18-39,3:07:37
1699,"» Brockbank, Nikki (GBR)",423,18-39,3:07:44
1714,"» Knowles, Jill (GBR)",663,40-44,3:07:54
1730,"» Collin, Clair (GBR)",26961,18-39,3:08:05
1741,"» Hazelton, Michelle (GBR)",25623,18-39,3:08:15
1753,"» Sarkies, Amy (GBR)",604,40-44,3:08:20
1759,"» Baker, Rachel (GBR)",479,18-39,3:08:21
1760,"» Nelson, Joanne (GBR)",590,45-49,3:08:22
1766,"» Qi, Wanwen (GBR)",560,40-44,3:08:26
1769,"» Logan, Sheena (GBR)",555,18-39,3:08:28
1810,"» Snider-Rodriguez, Jessica (USA)",57723,18-39,3:08:54
1814,"» Ford, Sally (GBR)",667,40-44,3:08:57
1816,"» Faram, Jane (GBR)",726,18-39,3:08:57
1828,"» Walters, Allie (USA)",56115,18-39,3:09:03
1839,"» Ede, Tamsin (GBR)",439,18-39,3:09:09
1844,"» Lines, Samantha (GBR)",27604,18-39,3:09:12
1863,"» BAXTER, MARIE (GBR)",31215,40-44,3:09:25
1867,"» Riddell-Webster, C. Alice (GBR)",483,50-54,3:09:27
1885,"» Charlton, Catherine (GBR)",486,18-39,3:09:37
