Overall Place,Gender Place,Category Place,Club,Runner Number,Gender,Category,Event,Half Time,Finish Time,Year,Last Name,First Name,Country,Total Seconds,Half Seconds
1.0,1.0,1.0,,2,M,18-39,Elite,01:02:31,02:04:29,2014, kipsang,wilson,KEN,7469.0,3751.0
2.0,2.0,2.0,,8,M,18-39,Elite,01:02:31,02:04:55,2014, biwott,stanley,KEN,7495.0,3751.0
3.0,3.0,3.0,,1,M,18-39,Elite,01:02:30,02:06:30,2014, kebede,tsegaye,ETH,7590.0,3750.0
4.0,4.0,4.0,,5,M,18-39,Elite,01:02:31,02:06:31,2014, abshero,ayele,ETH,7591.0,3751.0
5.0,5.0,5.0,,6,M,18-39,Elite,01:02:31,02:08:06,2014, mekonnen,tsegaye,ETH,7686.0,3751.0
6.0,6.0,6.0,,4,M,18-39,Elite,01:02:31,02:08:18,2014, mutai,geoffrey,KEN,7698.0,3751.0
7.0,7.0,7.0,,3,M,18-39,Elite,01:02:31,02:08:19,2014, mutai,emmanuel,KEN,7699.0,3751.0
8.0,8.0,8.0,,26,M,18-39,Elite,01:03:08,02:08:21,2014, farah,mo,GBR,7701.0,3788.0
9.0,9.0,9.0,,7,M,18-39,Elite,01:02:31,02:08:26,2014, lilesa,feyisa,ETH,7706.0,3751.0
10.0,10.0,10.0,,18,M,18-39,Elite,01:05:05,02:10:57,2014, vail,ryan,USA,7857.0,3905.0
11.0,11.0,11.0,,28,M,18-39,Elite,01:05:05,02:11:19,2014, thompson,chris,GBR,7879.0,3905.0
12.0,12.0,12.0,,11,M,18-39,Elite,01:03:48,02:11:37,2014, kiprotich,stephen,UGA,7897.0,3828.0
13.0,13.0,13.0,,17,M,18-39,Elite,01:05:05,02:13:40,2014, coolsaet,reid,CAN,8020.0,3905.0
14.0,14.0,14.0,,19,M,18-39,Elite,01:05:56,02:14:15,2014, nimo,pedro,ESP,8055.0,3956.0
15.0,15.0,15.0,,29,M,18-39,Elite,01:07:21,02:17:44,2014, livesey,ben,GBR,8264.0,4041.0
16.0,16.0,16.0,,12,M,18-39,Elite,01:03:14,02:19:10,2014, tsegay,samuel,ERI,8350.0,3794.0
17.0,17.0,17.0,,16,M,18-39,Elite,01:05:04,02:19:55,2014, overall,scott,GBR,8395.0,3904.0
18.0,1.0,1.0,,104,F,18-39,Elite,01:09:17,02:20:21,2014, kiplagat,edna,KEN,8421.0,4157.0
19.0,2.0,2.0,,103,F,18-39,Elite,01:09:16,02:20:24,2014, kiplagat,florence,KEN,8424.0,4156.0
20.0,3.0,3.0,,115,F,18-39,Elite,01:09:17,02:20:35,2014, dibaba,tirunesh,ETH,8435.0,4157.0
21.0,4.0,4.0,,106,F,18-39,Elite,01:09:57,02:21:42,2014, tadese,feyse,ETH,8502.0,4197.0
22.0,5.0,5.0,,105,F,18-39,Elite,01:09:57,02:23:21,2014, kebede,aberu,ETH,8601.0,4197.0
23.0,18.0,18.0,,25,M,18-39,Elite,01:08:01,02:23:22,2014, hagos,yared,ETH,8602.0,4081.0
24.0,6.0,6.0,,108,F,18-39,Elite,01:12:33,02:24:25,2014, augusto,jessica,POR,8665.0,4353.0
25.0,7.0,7.0,,110,F,18-39,Elite,01:12:45,02:26:46,2014, felix,ana dulce,POR,8806.0,4365.0
26.0,8.0,8.0,,102,F,18-39,Elite,01:11:22,02:26:58,2014, gelana,tiki,ETH,8818.0,4282.0
27.0,9.0,9.0,,118,F,18-39,Elite,01:12:51,02:32:00,2014, shimizu,yuko,JPN,9120.0,4371.0
28.0,10.0,10.0,,112,F,18-39,Elite,01:12:50,02:33:01,2014, nukuri-johnson,diane,BDI,9181.0,4370.0
29.0,11.0,11.0,,113,F,18-39,Elite,01:17:19,02:34:20,2014, whitehead,amy,GBR,9260.0,4639.0
30.0,12.0,1.0,,114,F,40-44,Elite,01:17:35,02:36:05,2014, stepto,emma,GBR,9365.0,4655.0
,,,,107,F,18-39,Elite,DSQ,DSQ,2014, gamera-shmyrko,tetyana,UKR,,
,,,,117,F,18-39,Elite,DSQ,DSQ,2014, kovalenko,liudmyla,UKR,,
1.0,1.0,1.0,,4,M,18-39,Elite,01:02:20,02:04:42,2015, kipchoge,eliud,KEN,7482.0,3740.0
2.0,2.0,2.0,,1,M,18-39,Elite,01:02:20,02:04:47,2015, kipsang,wilson,KEN,7487.0,3740.0
3.0,3.0,3.0,,2,M,18-39,Elite,01:02:20,02:05:51,2015, kimetto,dennis,KEN,7551.0,3740.0
4.0,4.0,4.0,,9,M,18-39,Elite,01:02:20,02:06:41,2015, biwott,stanley,KEN,7601.0,3740.0
5.0,5.0,5.0,,10,M,18-39,Elite,01:02:20,02:07:18,2015, regassa,tilahun,ETH,7638.0,3740.0
6.0,6.0,6.0,,7,M,18-39,Elite,01:02:20,02:07:43,2015, kitwara,samuel,KEN,7663.0,3740.0
7.0,7.0,7.0,,19,M,18-39,Elite,01:04:48,02:09:33,2015, guerra,javier,ESP,7773.0,3888.0
8.0,8.0,8.0,,14,M,18-39,Elite,01:03:15,02:09:36,2015, kibrom,ghebre,ERI,7776.0,3795.0
9.0,9.0,9.0,,13,M,18-39,Elite,01:04:47,02:10:10,2015, reunkov,aleksey,RUS,7810.0,3887.0
10.0,10.0,10.0,,12,M,18-39,Elite,01:04:48,02:10:21,2015, lebid,serhiy,UKR,7821.0,3888.0
11.0,11.0,11.0,,3,M,18-39,Elite,01:02:20,02:10:54,2015, mutai,emmanuel,KEN,7854.0,3740.0
12.0,12.0,12.0,,18,M,18-39,Elite,01:05:46,02:11:19,2015, shelley,michael,AUS,7879.0,3946.0
13.0,13.0,13.0,,17,M,18-39,Elite,01:05:46,02:13:13,2015, overall,scott,GBR,7993.0,3946.0
14.0,14.0,14.0,,23,M,18-39,Elite,01:07:01,02:13:47,2015, cooray,anuradha,SRI,8027.0,4021.0
15.0,15.0,15.0,,16,M,18-39,Elite,01:05:47,02:14:25,2015, raymaekers,koen,NED,8065.0,3947.0
16.0,16.0,16.0,,21,M,18-39,Elite,01:04:48,02:15:53,2015, ferreira,hermano,POR,8153.0,3888.0
17.0,17.0,17.0,,27,M,18-39,Elite,01:07:01,02:16:00,2015, hynes,mathew,GBR,8160.0,4021.0
18.0,18.0,18.0,,20,M,18-39,Elite,01:07:55,02:16:06,2015, karayel,bekir,TUR,8166.0,4075.0
19.0,19.0,19.0,,22,M,18-39,Elite,01:08:16,02:17:00,2015, kreienbuehl,christian,SUI,8220.0,4096.0
20.0,20.0,20.0,,25,M,18-39,Elite,01:08:20,02:21:31,2015, lizano,cesar,CRC,8491.0,4100.0
21.0,1.0,1.0,,109,F,18-39,Elite,01:11:43,02:23:22,2015, tufa,tigist,ETH,8602.0,4303.0
22.0,2.0,2.0,,102,F,18-39,Elite,01:11:43,02:23:40,2015, keitany,mary,KEN,8620.0,4303.0
23.0,3.0,3.0,,106,F,18-39,Elite,01:11:43,02:23:41,2015, tsegaye,tirfi,ETH,8621.0,4303.0
24.0,4.0,4.0,,103,F,18-39,Elite,01:11:42,02:23:53,2015, mergia,aselefech,ETH,8633.0,4302.0
25.0,5.0,5.0,,104,F,18-39,Elite,01:11:43,02:24:15,2015, kiplagat,florence,KEN,8655.0,4303.0
26.0,6.0,6.0,,108,F,18-39,Elite,01:11:43,02:24:23,2015, sumgong,jemima,KEN,8663.0,4303.0
27.0,7.0,7.0,,105,F,18-39,Elite,01:11:43,02:25:01,2015, jeptoo,priscah,KEN,8701.0,4303.0
28.0,8.0,8.0,,112,F,18-39,Elite,01:12:12,02:25:15,2015, felix,ana dulce,POR,8715.0,4332.0
29.0,9.0,9.0,,122,F,18-39,Elite,01:14:03,02:25:36,2015, mazuronak,volha,BLR,8736.0,4443.0
30.0,21.0,21.0,,26,M,18-39,Elite,01:11:01,02:25:52,2015, fincioen,stijn,BEL,8752.0,4261.0
31.0,10.0,10.0,,101,F,18-39,Elite,01:11:44,02:27:16,2015, kiplagat,edna,KEN,8836.0,4304.0
32.0,11.0,11.0,,116,F,18-39,Elite,01:12:00,02:27:47,2015, lewandowska,iwona,POL,8867.0,4320.0
