Overall Place,Gender Place,Category Place,Club,Runner Number,Gender,Category,Event,Half Time,Finish Time,Year,Last Name,First Name,Country,Total Seconds,Half Seconds,Name
1.0,1.0,1.0,,2,M,18-39,Elite,01:02:31,02:04:29,2014, kipsang,wilson,KEN,7469.0,3751.0,
2.0,2.0,2.0,,8,M,18-39,Elite,01:02:31,02:04:55,2014, biwott,stanley,KEN,7495.0,3751.0,
3.0,3.0,3.0,,1,M,18-39,Elite,01:02:30,02:06:30,2014, kebede,tsegaye,ETH,7590.0,3750.0,
4.0,4.0,4.0,,5,M,18-39,Elite,01:02:31,02:06:31,2014, abshero,ayele,ETH,7591.0,3751.0,
5.0,5.0,5.0,,6,M,18-39,Elite,01:02:31,02:08:06,2014, mekonnen,tsegaye,ETH,7686.0,3751.0,
6.0,6.0,6.0,,4,M,18-39,Elite,01:02:31,02:08:18,2014, mutai,geoffrey,KEN,7698.0,3751.0,
7.0,7.0,7.0,,3,M,18-39,Elite,01:02:31,02:08:19,2014, mutai,emmanuel,KEN,7699.0,3751.0,
8.0,8.0,8.0,,26,M,18-39,Elite,01:03:08,02:08:21,2014, farah,mo,GBR,7701.0,3788.0,
9.0,9.0,9.0,,7,M,18-39,Elite,01:02:31,02:08:26,2014, lilesa,feyisa,ETH,7706.0,3751.0,
10.0,10.0,10.0,,18,M,18-39,Elite,01:05:05,02:10:57,2014, vail,ryan,USA,7857.0,3905.0,
11.0,11.0,11.0,,28,M,18-39,Elite,01:05:05,02:11:19,2014, thompson,chris,GBR,7879.0,3905.0,
12.0,12.0,12.0,,11,M,18-39,Elite,01:03:48,02:11:37,2014, kiprotich,stephen,UGA,7897.0,3828.0,
13.0,13.0,13.0,,17,M,18-39,Elite,01:05:05,02:13:40,2014, coolsaet,reid,CAN,8020.0,3905.0,
14.0,14.0,14.0,,19,M,18-39,Elite,01:05:56,02:14:15,2014, nimo,pedro,ESP,8055.0,3956.0,
1,1,1.0,Bournem...,943,M,18-39,Mass,01:07:21,02:16:27,2014, way,steven,GBR,8187.0,,
2,2,2.0,Kent Ac,851,M,18-39,Mass,01:07:21,02:16:46,2014, gilbert,john,GBR,8206.0,,
15.0,15.0,15.0,,29,M,18-39,Elite,01:07:21,02:17:44,2014, livesey,ben,GBR,8264.0,4041.0,
16.0,16.0,16.0,,12,M,18-39,Elite,01:03:14,02:19:10,2014, tsegay,samuel,ERI,8350.0,3794.0,
17.0,17.0,17.0,,16,M,18-39,Elite,01:05:04,02:19:55,2014, overall,scott,GBR,8395.0,3904.0,
3,3,3.0,Brighton ...,1043,M,18-39,Mass,01:07:56,02:19:59,2014, pepper,jon,GBR,8399.0,,
4,4,4.0,2748956,1076,M,18-39,Mass,01:09:16,02:20:54,2014, kay,richard,GBR,8454.0,,
5,5,5.0,BRI...,1037,M,18-39,Mass,01:11:00,02:22:56,2014, rojas,kevin,GBR,8576.0,,
6,6,6.0,Serpenti...,798,M,18-39,Mass,01:10:49,02:22:58,2014, poole,jonathan,GBR,8578.0,,
23.0,18.0,18.0,,25,M,18-39,Elite,01:08:01,02:23:22,2014, hagos,yared,ETH,8602.0,4081.0,
7,7,7.0,Ilford,860,M,18-39,Mass,01:11:00,02:23:27,2014, mcwhirter,blair,NZL,8607.0,,
8,8,8.0,Victoria P...,912,M,18-39,Mass,01:07:57,02:23:36,2014, martelletti,paul,GBR,8616.0,,
9,9,9.0,Achilles,880,M,18-39,Mass,01:09:16,02:23:57,2014, natali,paolo,GBR,8637.0,,
10,10,10.0,Edinburgh...,1059,M,18-39,Mass,01:12:25,02:24:27,2014, gierjatowicz,patryk,GBR,8667.0,,
11,11,11.0,Edinburg...,1113,M,18-39,Mass,01:09:17,02:24:33,2014, renault,neil,GBR,8673.0,,
12,12,12.0,Highgate ...,965,M,18-39,Mass,01:10:49,02:24:46,2014, scott,richard,GBR,8686.0,,
13,13,13.0,Enfield &...,1017,M,18-39,Mass,01:12:37,02:25:14,2014, milne,alex,GBR,8714.0,,
14,14,14.0,Notts Ac,1049,M,18-39,Mass,01:12:08,02:25:50,2014, keal,rob,GBR,8750.0,,
15,15,15.0,Cambridge...,917,M,18-39,Mass,01:13:01,02:26:17,2014, hoad,james,GBR,8777.0,,
16,16,16.0,Eryri Har...,887,M,18-39,Mass,01:09:52,02:26:30,2014, vaughan,alun,GBR,8790.0,,
17,17,17.0,Cambridge...,961,M,18-39,Mass,01:13:22,02:26:52,2014, shearer,ben,GBR,8812.0,,
18,18,18.0,Road Run...,1029,M,18-39,Mass,01:13:54,02:26:54,2014, fellows,donovan,USA,8814.0,,
19,19,19.0,Micky Mor...,885,M,18-39,Mass,01:12:28,02:27:01,2014, collins,matthew,GBR,8821.0,,
20,20,20.0,Garden C...,896,M,18-39,Mass,01:10:14,02:27:07,2014, vermeesch,pieter,BEL,8827.0,,
21,21,21.0,Belgrave ...,869,M,18-39,Mass,01:13:28,02:27:08,2014, pollard,mark,GBR,8828.0,,
22,22,22.0,,57850,M,18-39,Mass,01:12:32,02:27:37,2014, kjall - ohlsson,martin,NOR,8857.0,,
23,23,23.0,Woodford...,915,M,18-39,Mass,01:12:47,02:27:39,2014, cryer,martyn,GBR,8859.0,,
24,24,24.0,Bournemout...,935,M,18-39,Mass,01:14:13,02:27:45,2014, cieluszecki,jacek,GBR,8865.0,,
25,25,25.0,Inverclyd...,881,M,18-39,Mass,01:09:17,02:27:48,2014, douglas,andrew,GBR,8868.0,,
26,26,26.0,Swansea ...,683,M,18-39,Mass,01:11:00,02:27:54,2014, matthews,phillip,GBR,8874.0,,
27,27,27.0,Uknetru...,893,M,18-39,Mass,01:14:40,02:27:57,2014, pope,robert,GBR,8877.0,,
28,28,1.0,Kent Ac,913,M,40-44,Mass,01:14:07,02:27:59,2014, greenwood,christopher,GBR,8879.0,,
29,29,28.0,Notts AC,755,M,18-39,Mass,01:09:16,02:28:01,2014, spencer,stuart,GBR,8881.0,,
30,30,29.0,Edinburgh ...,984,M,18-39,Mass,01:12:29,02:28:14,2014, mclellan,kyle,GBR,8894.0,,
31,31,30.0,Hallamshir...,907,M,18-39,Mass,01:13:13,02:28:18,2014, jenkins,tom,GBR,8898.0,,
32,32,31.0,Serpenti...,1161,M,18-39,Mass,01:12:32,02:28:24,2014, morgan,dave,GBR,8904.0,,
33,33,2.0,Clowne ...,812,M,40-44,Mass,01:11:21,02:28:34,2014, lowe,gareth,GBR,8914.0,,
34,34,32.0,Victoria P...,1013,M,18-39,Mass,01:14:47,02:28:48,2014, humphrey,sam,GBR,8928.0,,
35,35,33.0,Datchet ...,721,M,18-39,Mass,01:14:36,02:28:54,2014, stevens,thomas,GBR,8934.0,,
36,36,34.0,,57418,M,18-39,Mass,01:14:22,02:29:22,2014, moore,colm,IRL,8962.0,,
37,37,3.0,Deeside ...,736,M,40-44,Mass,01:13:28,02:29:30,2014, jones,lee,GBR,8970.0,,
38,38,35.0,Holmfirth ...,1088,M,18-39,Mass,01:13:32,02:29:41,2014, turnbull,david,GBR,8981.0,,
39,39,36.0,,27377,M,18-39,Mass,01:11:56,02:29:57,2014, mqambeli,siyabulela siya,RSA,8997.0,,
40,40,4.0,Headingt...,973,M,40-44,Mass,01:13:29,02:29:58,2014, dettmar,christopher,GBR,8998.0,,
41,41,5.0,Edinburgh ...,703,M,40-44,Mass,01:14:24,02:30:20,2014, rouse,adam,GBR,9020.0,,
42,42,37.0,Les Crou...,730,M,18-39,Mass,01:15:34,02:31:20,2014, breen,graham,GBR,9080.0,,
43,43,38.0,Durham Ci...,919,M,18-39,Mass,01:15:09,02:31:23,2014, douglas,ben,GBR,9083.0,,
44,44,39.0,Horsham...,627,M,18-39,Mass,01:11:20,02:31:26,2014, boniface,neil,GBR,9086.0,,
45,45,40.0,North So...,983,M,18-39,Mass,01:15:17,02:31:32,2014, saillard,nicolas,GBR,9092.0,,
46,46,41.0,Victoria P...,31273,M,18-39,Mass,01:14:21,02:31:35,2014, polini,josselin,FRA,9095.0,,
